"state","city","datePosted","LMT_jobsPosted"
"AK","anchorage",2020-07-09,1
"AK","anchorage",2020-07-14,4
"AK","anchorage",2020-07-23,1
"AK","anchorage",2020-07-25,4
"AK","anchorage",2020-07-28,2
"AK","anchorage",2020-08-07,1
"AK","anchorage",2020-08-08,2
"AK","anchorage",2020-08-13,1
"AK","knik-fairview",2020-07-08,3
"AK","knik-fairview",2020-07-14,4
"AK","knik-fairview",2020-07-16,1
"AK","knik-fairview",2020-07-23,1
"AK","knik-fairview",2020-07-24,4
"AK","knik-fairview",2020-07-25,1
"AK","knik-fairview",2020-07-28,2
"AK","knik-fairview",2020-07-29,3
"AK","knik-fairview",2020-08-02,1
"AK","knik-fairview",2020-08-07,1
"AK","knik-fairview",2020-08-08,2
"AK","knik-fairview",2020-08-09,1
"AK","knik-fairview",2020-08-13,1
"AK","knik-fairview",2020-08-16,1
"AK","lakes",2020-07-08,3
"AK","lakes",2020-07-16,1
"AK","lakes",2020-07-23,1
"AK","lakes",2020-07-24,4
"AK","lakes",2020-07-29,3
"AK","lakes",2020-08-02,1
"AK","lakes",2020-08-08,2
"AK","lakes",2020-08-09,1
"AK","lakes",2020-08-16,1
"AK","tanaina",2020-07-08,3
"AK","tanaina",2020-07-16,1
"AK","tanaina",2020-07-23,1
"AK","tanaina",2020-07-24,4
"AK","tanaina",2020-07-29,3
"AK","tanaina",2020-08-02,1
"AK","tanaina",2020-08-08,2
"AK","tanaina",2020-08-09,1
"AK","tanaina",2020-08-16,1
"AK","wasilla",2020-07-08,3
"AK","wasilla",2020-07-16,1
"AK","wasilla",2020-07-23,1
"AK","wasilla",2020-07-24,4
"AK","wasilla",2020-07-29,3
"AK","wasilla",2020-08-02,1
"AK","wasilla",2020-08-08,2
"AK","wasilla",2020-08-09,1
"AK","wasilla",2020-08-16,1
"AL","auburn",2020-07-31,1
"AL","auburn",2020-08-06,1
"AL","birmingham",2020-07-06,2
"AL","birmingham",2020-07-22,1
"AL","birmingham",2020-07-23,4
"AL","birmingham",2020-07-24,1
"AL","birmingham",2020-07-25,1
"AL","birmingham",2020-07-26,3
"AL","birmingham",2020-07-30,1
"AL","birmingham",2020-08-01,2
"AL","birmingham",2020-08-04,2
"AL","birmingham",2020-08-05,1
"AL","decatur",2020-07-13,1
"AL","decatur",2020-07-28,2
"AL","decatur",2020-07-31,1
"AL","decatur",2020-08-05,1
"AL","decatur",2020-08-06,1
"AL","hoover",2020-07-06,2
"AL","hoover",2020-07-22,1
"AL","hoover",2020-07-23,4
"AL","hoover",2020-07-24,1
"AL","hoover",2020-07-25,1
"AL","hoover",2020-07-26,3
"AL","hoover",2020-07-30,1
"AL","hoover",2020-08-01,2
"AL","hoover",2020-08-04,2
"AL","hoover",2020-08-05,1
"AL","huntsville",2020-07-10,2
"AL","huntsville",2020-07-13,1
"AL","huntsville",2020-07-28,3
"AL","huntsville",2020-07-31,1
"AL","madison",2020-07-10,2
"AL","madison",2020-07-13,1
"AL","madison",2020-07-28,3
"AL","madison",2020-07-31,1
"AL","mobile",2020-06-23,1
"AL","mobile",2020-07-17,4
"AL","mobile",2020-07-31,3
"AL","mobile",2020-08-06,2
"AL","montgomery",2020-07-08,3
"AL","montgomery",2020-07-24,1
"AL","montgomery",2020-07-25,1
"AL","montgomery",2020-08-15,1
"AR","bentonville",2020-07-01,1
"AR","bentonville",2020-07-02,1
"AR","bentonville",2020-08-08,2
"AR","bentonville",2020-08-13,1
"AR","conway",2020-06-26,1
"AR","conway",2020-07-05,3
"AR","conway",2020-07-06,1
"AR","conway",2020-07-07,5
"AR","conway",2020-07-27,1
"AR","conway",2020-07-28,1
"AR","conway",2020-07-31,2
"AR","conway",2020-08-01,1
"AR","conway",2020-08-04,2
"AR","conway",2020-08-05,2
"AR","conway",2020-08-10,1
"AR","conway",2020-08-11,1
"AR","fayetteville",2020-07-01,1
"AR","fayetteville",2020-07-02,1
"AR","fayetteville",2020-08-08,2
"AR","fayetteville",2020-08-13,1
"AR","fort+smith",2020-07-14,1
"AR","little+rock",2020-06-26,1
"AR","little+rock",2020-07-05,3
"AR","little+rock",2020-07-06,1
"AR","little+rock",2020-07-07,5
"AR","little+rock",2020-07-27,1
"AR","little+rock",2020-07-28,1
"AR","little+rock",2020-07-29,1
"AR","little+rock",2020-07-30,1
"AR","little+rock",2020-07-31,2
"AR","little+rock",2020-08-01,1
"AR","little+rock",2020-08-04,2
"AR","little+rock",2020-08-11,1
"AR","north+little+rock",2020-06-26,1
"AR","north+little+rock",2020-07-05,3
"AR","north+little+rock",2020-07-06,1
"AR","north+little+rock",2020-07-07,5
"AR","north+little+rock",2020-07-27,1
"AR","north+little+rock",2020-07-28,1
"AR","north+little+rock",2020-07-29,1
"AR","north+little+rock",2020-07-30,1
"AR","north+little+rock",2020-07-31,2
"AR","north+little+rock",2020-08-01,1
"AR","north+little+rock",2020-08-04,2
"AR","north+little+rock",2020-08-10,1
"AR","north+little+rock",2020-08-11,1
"AR","pine+bluff",2020-06-26,1
"AR","pine+bluff",2020-07-05,2
"AR","pine+bluff",2020-07-07,2
"AR","pine+bluff",2020-07-27,1
"AR","pine+bluff",2020-07-29,1
"AR","pine+bluff",2020-07-30,1
"AR","pine+bluff",2020-07-31,1
"AR","pine+bluff",2020-08-04,1
"AR","rogers",2020-07-01,1
"AR","rogers",2020-07-02,1
"AR","rogers",2020-08-08,2
"AR","rogers",2020-08-13,1
"AR","springdale",2020-07-01,1
"AR","springdale",2020-07-02,1
"AR","springdale",2020-08-08,2
"AR","springdale",2020-08-13,1
"AZ","chandler",2020-06-22,1
"AZ","chandler",2020-06-25,1
"AZ","chandler",2020-06-26,1
"AZ","chandler",2020-06-28,2
"AZ","chandler",2020-06-29,1
"AZ","chandler",2020-07-01,1
