"state","city","datePosted","jobsPosted","job"
"AK","anchorage","2020-07-09",1,"LMT"
"AK","anchorage","2020-07-14",4,"LMT"
"AK","anchorage","2020-07-23",1,"LMT"
"AK","anchorage","2020-07-25",4,"LMT"
"AK","anchorage","2020-07-28",2,"LMT"
"AK","anchorage","2020-08-07",1,"LMT"
"AK","anchorage","2020-08-08",2,"LMT"
"AK","anchorage","2020-08-13",1,"LMT"
"AK","knik-fairview","2020-07-08",3,"LMT"
"AK","knik-fairview","2020-07-14",4,"LMT"
"AK","knik-fairview","2020-07-16",1,"LMT"
"AK","knik-fairview","2020-07-23",1,"LMT"
"AK","knik-fairview","2020-07-24",4,"LMT"
"AK","knik-fairview","2020-07-25",1,"LMT"
"AK","knik-fairview","2020-07-28",2,"LMT"
"AK","knik-fairview","2020-07-29",3,"LMT"
"AK","knik-fairview","2020-08-02",1,"LMT"
"AK","knik-fairview","2020-08-07",1,"LMT"
"AK","knik-fairview","2020-08-08",2,"LMT"
"AK","knik-fairview","2020-08-09",1,"LMT"
"AK","knik-fairview","2020-08-13",1,"LMT"
"AK","knik-fairview","2020-08-16",1,"LMT"
"AK","lakes","2020-07-08",3,"LMT"
"AK","lakes","2020-07-16",1,"LMT"
"AK","lakes","2020-07-23",1,"LMT"
"AK","lakes","2020-07-24",4,"LMT"
"AK","lakes","2020-07-29",3,"LMT"
"AK","lakes","2020-08-02",1,"LMT"
"AK","lakes","2020-08-08",2,"LMT"
"AK","lakes","2020-08-09",1,"LMT"
"AK","lakes","2020-08-16",1,"LMT"
"AK","tanaina","2020-07-08",3,"LMT"
"AK","tanaina","2020-07-16",1,"LMT"
"AK","tanaina","2020-07-23",1,"LMT"
"AK","tanaina","2020-07-24",4,"LMT"
"AK","tanaina","2020-07-29",3,"LMT"
"AK","tanaina","2020-08-02",1,"LMT"
"AK","tanaina","2020-08-08",2,"LMT"
"AK","tanaina","2020-08-09",1,"LMT"
"AK","tanaina","2020-08-16",1,"LMT"
"AK","wasilla","2020-07-08",3,"LMT"
"AK","wasilla","2020-07-16",1,"LMT"
"AK","wasilla","2020-07-23",1,"LMT"
"AK","wasilla","2020-07-24",4,"LMT"
"AK","wasilla","2020-07-29",3,"LMT"
"AK","wasilla","2020-08-02",1,"LMT"
"AK","wasilla","2020-08-08",2,"LMT"
"AK","wasilla","2020-08-09",1,"LMT"
"AK","wasilla","2020-08-16",1,"LMT"
"AL","auburn","2020-07-31",1,"LMT"
"AL","auburn","2020-08-06",1,"LMT"
"AL","birmingham","2020-07-06",2,"LMT"
"AL","birmingham","2020-07-22",1,"LMT"
"AL","birmingham","2020-07-23",4,"LMT"
"AL","birmingham","2020-07-24",1,"LMT"
"AL","birmingham","2020-07-25",1,"LMT"
"AL","birmingham","2020-07-26",3,"LMT"
"AL","birmingham","2020-07-30",1,"LMT"
"AL","birmingham","2020-08-01",2,"LMT"
"AL","birmingham","2020-08-04",2,"LMT"
"AL","birmingham","2020-08-05",1,"LMT"
"AL","decatur","2020-07-13",1,"LMT"
"AL","decatur","2020-07-28",2,"LMT"
"AL","decatur","2020-07-31",1,"LMT"
"AL","decatur","2020-08-05",1,"LMT"
"AL","decatur","2020-08-06",1,"LMT"
"AL","hoover","2020-07-06",2,"LMT"
"AL","hoover","2020-07-22",1,"LMT"
"AL","hoover","2020-07-23",4,"LMT"
"AL","hoover","2020-07-24",1,"LMT"
"AL","hoover","2020-07-25",1,"LMT"
"AL","hoover","2020-07-26",3,"LMT"
"AL","hoover","2020-07-30",1,"LMT"
"AL","hoover","2020-08-01",2,"LMT"
"AL","hoover","2020-08-04",2,"LMT"
"AL","hoover","2020-08-05",1,"LMT"
"AL","huntsville","2020-07-10",2,"LMT"
"AL","huntsville","2020-07-13",1,"LMT"
"AL","huntsville","2020-07-28",3,"LMT"
"AL","huntsville","2020-07-31",1,"LMT"
"AL","madison","2020-07-10",2,"LMT"
"AL","madison","2020-07-13",1,"LMT"
"AL","madison","2020-07-28",3,"LMT"
"AL","madison","2020-07-31",1,"LMT"
"AL","mobile","2020-06-23",1,"LMT"
"AL","mobile","2020-07-17",4,"LMT"
"AL","mobile","2020-07-31",3,"LMT"
"AL","mobile","2020-08-06",2,"LMT"
"AL","montgomery","2020-07-08",3,"LMT"
"AL","montgomery","2020-07-24",1,"LMT"
"AL","montgomery","2020-07-25",1,"LMT"
"AL","montgomery","2020-08-15",1,"LMT"
"AR","bentonville","2020-07-01",1,"LMT"
"AR","bentonville","2020-07-02",1,"LMT"
"AR","bentonville","2020-08-08",2,"LMT"
"AR","bentonville","2020-08-13",1,"LMT"
"AR","conway","2020-06-26",1,"LMT"
"AR","conway","2020-07-05",3,"LMT"
"AR","conway","2020-07-06",1,"LMT"
"AR","conway","2020-07-07",5,"LMT"
"AR","conway","2020-07-27",1,"LMT"
"AR","conway","2020-07-28",1,"LMT"
"AR","conway","2020-07-31",2,"LMT"
"AR","conway","2020-08-01",1,"LMT"
"AR","conway","2020-08-04",2,"LMT"
"AR","conway","2020-08-05",2,"LMT"
"AR","conway","2020-08-10",1,"LMT"
"AR","conway","2020-08-11",1,"LMT"
"AR","fayetteville","2020-07-01",1,"LMT"
"AR","fayetteville","2020-07-02",1,"LMT"
"AR","fayetteville","2020-08-08",2,"LMT"
"AR","fayetteville","2020-08-13",1,"LMT"
"AR","fort+smith","2020-07-14",1,"LMT"
"AR","little+rock","2020-06-26",1,"LMT"
"AR","little+rock","2020-07-05",3,"LMT"
"AR","little+rock","2020-07-06",1,"LMT"
"AR","little+rock","2020-07-07",5,"LMT"
"AR","little+rock","2020-07-27",1,"LMT"
"AR","little+rock","2020-07-28",1,"LMT"
"AR","little+rock","2020-07-29",1,"LMT"
"AR","little+rock","2020-07-30",1,"LMT"
"AR","little+rock","2020-07-31",2,"LMT"
"AR","little+rock","2020-08-01",1,"LMT"
"AR","little+rock","2020-08-04",2,"LMT"
"AR","little+rock","2020-08-11",1,"LMT"
"AR","north+little+rock","2020-06-26",1,"LMT"
"AR","north+little+rock","2020-07-05",3,"LMT"
"AR","north+little+rock","2020-07-06",1,"LMT"
"AR","north+little+rock","2020-07-07",5,"LMT"
"AR","north+little+rock","2020-07-27",1,"LMT"
"AR","north+little+rock","2020-07-28",1,"LMT"
"AR","north+little+rock","2020-07-29",1,"LMT"
"AR","north+little+rock","2020-07-30",1,"LMT"
"AR","north+little+rock","2020-07-31",2,"LMT"
"AR","north+little+rock","2020-08-01",1,"LMT"
"AR","north+little+rock","2020-08-04",2,"LMT"
"AR","north+little+rock","2020-08-10",1,"LMT"
"AR","north+little+rock","2020-08-11",1,"LMT"
"AR","pine+bluff","2020-06-26",1,"LMT"
"AR","pine+bluff","2020-07-05",2,"LMT"
"AR","pine+bluff","2020-07-07",2,"LMT"
"AR","pine+bluff","2020-07-27",1,"LMT"
"AR","pine+bluff","2020-07-29",1,"LMT"
"AR","pine+bluff","2020-07-30",1,"LMT"
"AR","pine+bluff","2020-07-31",1,"LMT"
"AR","pine+bluff","2020-08-04",1,"LMT"
"AR","rogers","2020-07-01",1,"LMT"
"AR","rogers","2020-07-02",1,"LMT"
"AR","rogers","2020-08-08",2,"LMT"
"AR","rogers","2020-08-13",1,"LMT"
"AR","springdale","2020-07-01",1,"LMT"
"AR","springdale","2020-07-02",1,"LMT"
"AR","springdale","2020-08-08",2,"LMT"
"AR","springdale","2020-08-13",1,"LMT"
"AZ","chandler","2020-06-22",1,"LMT"
"AZ","chandler","2020-06-25",1,"LMT"
"AZ","chandler","2020-06-26",1,"LMT"
"AZ","chandler","2020-06-28",2,"LMT"
