"state","city","jobSearched","jobPosted_nDays_ago","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary"
"AK","anchorage","nanny","2020-06-23",10,16,NA,NA
"AK","anchorage","nanny","2020-07-07",10.6666666666667,15.6666666666667,NA,NA
"AK","anchorage","nanny","2020-07-08",10,16,NA,NA
"AK","anchorage","nanny","2020-07-15",10,16,NA,NA
"AK","anchorage","nanny","2020-08-04",10,24,NA,NA
"AK","anchorage","nanny","2020-08-05",10,25,NA,NA
"AK","anchorage","nanny","2020-08-07",10,24,NA,NA
"AK","anchorage","nanny","2020-08-13",10,23,NA,NA
"AK","anchorage","nanny","2020-08-17",10,23,NA,NA
"AK","badger","nanny","2020-07-10",12,12,NA,NA
"AK","badger","nanny","2020-08-04",12,20,NA,NA
"AK","college","nanny","2020-07-10",12,12,NA,NA
"AK","college","nanny","2020-08-04",12,20,NA,NA
"AK","fairbanks","nanny","2020-07-10",12,12,NA,NA
"AK","fairbanks","nanny","2020-08-04",12,20,NA,NA
"AK","knik-fairview","nanny","2020-06-27",11,15,NA,NA
"AK","knik-fairview","nanny","2020-06-30",11,15,NA,NA
"AK","knik-fairview","nanny","2020-07-05",11,15,NA,NA
"AK","knik-fairview","nanny","2020-07-07",11.5,15,NA,NA
"AK","knik-fairview","nanny","2020-07-08",11,15,NA,NA
"AK","knik-fairview","nanny","2020-08-04",10,23,NA,NA
"AK","knik-fairview","nanny","2020-08-07",10,23,NA,NA
"AK","knik-fairview","nanny","2020-08-11",10,23,NA,NA
"AK","knik-fairview","nanny","2020-08-13",10,23,NA,NA
"AK","knik-fairview","nanny","2020-08-17",10,23,NA,NA
"AK","lakes","nanny","2020-06-27",11,15,NA,NA
"AK","lakes","nanny","2020-06-30",11,15,NA,NA
"AK","lakes","nanny","2020-07-05",11,15,NA,NA
"AK","lakes","nanny","2020-07-07",11.5,15,NA,NA
"AK","lakes","nanny","2020-07-08",11,15,NA,NA
"AK","lakes","nanny","2020-08-04",10,14,NA,NA
"AK","lakes","nanny","2020-08-07",10,14,NA,NA
"AK","lakes","nanny","2020-08-11",10,18,NA,NA
"AK","lakes","nanny","2020-08-13",10,18,NA,NA
"AK","tanaina","nanny","2020-06-27",11,15,NA,NA
"AK","tanaina","nanny","2020-06-30",11,15,NA,NA
"AK","tanaina","nanny","2020-07-05",11,15,NA,NA
"AK","tanaina","nanny","2020-07-07",11.5,15,NA,NA
"AK","tanaina","nanny","2020-07-08",11,15,NA,NA
"AK","tanaina","nanny","2020-08-04",10,14,NA,NA
"AK","tanaina","nanny","2020-08-07",10,14,NA,NA
"AK","tanaina","nanny","2020-08-11",10,18,NA,NA
"AK","tanaina","nanny","2020-08-13",10,18,NA,NA
"AK","wasilla","nanny","2020-06-27",11,15,NA,NA
"AK","wasilla","nanny","2020-06-30",11,15,NA,NA
"AK","wasilla","nanny","2020-07-07",11.5,15,NA,NA
"AK","wasilla","nanny","2020-07-08",11,15,NA,NA
"AK","wasilla","nanny","2020-08-04",10,14,NA,NA
"AK","wasilla","nanny","2020-08-07",10,14,NA,NA
"AK","wasilla","nanny","2020-08-11",10,18,NA,NA
"AK","wasilla","nanny","2020-08-13",10,18,NA,NA
"AL","auburn","nanny","2020-06-27",8,10,NA,NA
"AL","auburn","nanny","2020-08-04",9,10.5,NA,NA
"AL","auburn","nanny","2020-08-13",9,12,NA,NA
"AL","auburn","nanny","2020-08-16",9,12,NA,NA
"AL","birmingham","nanny","2020-06-26",12,12,NA,NA
"AL","birmingham","nanny","2020-07-10",12,12,NA,NA
"AL","birmingham","nanny","2020-07-18",12,12,NA,NA
"AL","birmingham","nanny","2020-08-04",9,20,NA,NA
"AL","birmingham","nanny","2020-08-05",9,20,NA,NA
"AL","birmingham","nanny","2020-08-07",9,20,NA,NA
"AL","birmingham","nanny","2020-08-08",9,20,NA,NA
"AL","birmingham","nanny","2020-08-11",9,20,NA,NA
"AL","birmingham","nanny","2020-08-15",9,20,NA,NA
"AL","decatur","nanny","2020-07-02",10,15,NA,NA
"AL","decatur","nanny","2020-07-14",10,15,NA,NA
"AL","decatur","nanny","2020-07-16",10,15,NA,NA
"AL","decatur","nanny","2020-07-17",10,15,NA,NA
"AL","decatur","nanny","2020-08-04",10,15,NA,NA
"AL","decatur","nanny","2020-08-11",10,15,NA,NA
"AL","decatur","nanny","2020-08-13",10,15,NA,NA
"AL","decatur","nanny","2020-08-15",10,15,NA,NA
"AL","dothan","nanny","2020-07-14",12,12,NA,NA
"AL","dothan","nanny","2020-08-04",10,15,NA,NA
"AL","dothan","nanny","2020-08-16",10,15,NA,NA
"AL","hoover","nanny","2020-06-23",8,15,NA,NA
"AL","hoover","nanny","2020-07-03",8,15,NA,NA
