"state","city","datePosted","nanny_jobsPosted"
"AK","anchorage",2020-06-23,1
"AK","anchorage",2020-07-07,3
"AK","anchorage",2020-07-08,2
"AK","anchorage",2020-07-15,2
"AK","anchorage",2020-08-04,14
"AK","anchorage",2020-08-05,1
"AK","anchorage",2020-08-07,2
"AK","anchorage",2020-08-13,1
"AK","anchorage",2020-08-17,1
"AK","badger",2020-07-10,2
"AK","badger",2020-08-04,6
"AK","college",2020-07-10,2
"AK","college",2020-08-04,6
"AK","fairbanks",2020-07-10,2
"AK","fairbanks",2020-08-04,6
"AK","knik-fairview",2020-06-27,1
"AK","knik-fairview",2020-06-30,2
"AK","knik-fairview",2020-07-05,1
"AK","knik-fairview",2020-07-07,2
"AK","knik-fairview",2020-07-08,1
"AK","knik-fairview",2020-08-04,12
"AK","knik-fairview",2020-08-07,2
"AK","knik-fairview",2020-08-11,1
"AK","knik-fairview",2020-08-13,2
"AK","knik-fairview",2020-08-17,1
"AK","lakes",2020-06-27,1
"AK","lakes",2020-06-30,2
"AK","lakes",2020-07-05,1
"AK","lakes",2020-07-07,2
"AK","lakes",2020-07-08,1
"AK","lakes",2020-08-04,6
"AK","lakes",2020-08-07,2
"AK","lakes",2020-08-11,1
"AK","lakes",2020-08-13,2
"AK","tanaina",2020-06-27,1
"AK","tanaina",2020-06-30,2
"AK","tanaina",2020-07-05,1
"AK","tanaina",2020-07-07,2
"AK","tanaina",2020-07-08,1
"AK","tanaina",2020-08-04,6
"AK","tanaina",2020-08-07,2
"AK","tanaina",2020-08-11,1
"AK","tanaina",2020-08-13,2
"AK","wasilla",2020-06-27,1
"AK","wasilla",2020-06-30,2
"AK","wasilla",2020-07-07,2
"AK","wasilla",2020-07-08,1
"AK","wasilla",2020-08-04,6
"AK","wasilla",2020-08-07,2
"AK","wasilla",2020-08-11,1
"AK","wasilla",2020-08-13,2
"AL","auburn",2020-06-27,1
"AL","auburn",2020-08-04,2
"AL","auburn",2020-08-13,1
"AL","auburn",2020-08-16,1
"AL","birmingham",2020-06-26,1
"AL","birmingham",2020-07-10,2
"AL","birmingham",2020-07-18,2
"AL","birmingham",2020-08-04,6
"AL","birmingham",2020-08-05,4
"AL","birmingham",2020-08-07,2
"AL","birmingham",2020-08-08,6
"AL","birmingham",2020-08-11,2
"AL","birmingham",2020-08-15,1
"AL","decatur",2020-07-02,2
"AL","decatur",2020-07-14,2
"AL","decatur",2020-07-16,2
"AL","decatur",2020-07-17,2
"AL","decatur",2020-08-04,8
"AL","decatur",2020-08-11,1
"AL","decatur",2020-08-13,1
"AL","decatur",2020-08-15,1
"AL","dothan",2020-07-14,2
"AL","dothan",2020-08-04,2
"AL","dothan",2020-08-16,1
"AL","hoover",2020-06-23,1
"AL","hoover",2020-07-03,1
"AL","hoover",2020-07-10,1
"AL","hoover",2020-07-18,2
"AL","hoover",2020-08-04,8
"AL","hoover",2020-08-05,4
"AL","hoover",2020-08-07,2
"AL","hoover",2020-08-08,6
"AL","hoover",2020-08-11,2
"AL","hoover",2020-08-15,1
"AL","huntsville",2020-06-21,1
"AL","huntsville",2020-07-02,2
"AL","huntsville",2020-07-11,2
"AL","huntsville",2020-07-15,2
"AL","huntsville",2020-07-17,1
"AL","huntsville",2020-08-04,15
"AL","huntsville",2020-08-06,1
"AL","huntsville",2020-08-07,1
"AL","huntsville",2020-08-13,1
"AL","madison",2020-07-02,1
"AL","madison",2020-07-11,1
"AL","madison",2020-07-15,2
"AL","madison",2020-07-16,2
"AL","madison",2020-07-17,2
"AL","madison",2020-08-04,15
"AL","madison",2020-08-06,1
"AL","madison",2020-08-07,1
"AL","madison",2020-08-11,1
"AL","madison",2020-08-13,1
"AL","mobile",2020-07-14,2
"AL","mobile",2020-07-18,2
"AL","mobile",2020-07-19,2
"AL","mobile",2020-07-30,2
"AL","mobile",2020-07-31,1
"AL","mobile",2020-08-04,10
"AL","mobile",2020-08-13,1
"AL","montgomery",2020-07-08,2
"AL","montgomery",2020-07-10,1
"AL","montgomery",2020-08-09,2
"AL","montgomery",2020-08-13,1
"AL","tuscaloosa",2020-07-05,2
"AL","tuscaloosa",2020-07-11,2
"AL","tuscaloosa",2020-08-04,1
"AL","tuscaloosa",2020-08-11,1
"AL","tuscaloosa",2020-08-12,1
"AR","bentonville",2020-06-23,1
"AR","bentonville",2020-07-02,2
"AR","bentonville",2020-07-03,4
"AR","bentonville",2020-07-13,2
"AR","bentonville",2020-08-04,12
"AR","bentonville",2020-08-11,1
"AR","bentonville",2020-08-16,2
"AR","conway",2020-06-23,1
"AR","conway",2020-06-24,1
"AR","conway",2020-07-01,2
"AR","conway",2020-07-14,2
"AR","conway",2020-07-15,2
