"state","city","jobSearched","jobPosted_nDays_ago","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary"
"AK","anchorage","nurse","2020-06-26",28,70,29350,159217
"AK","anchorage","nurse","2020-07-01",28,70,29350,159217
"AK","anchorage","nurse","2020-07-02",28,70,29350,159217
"AK","anchorage","nurse","2020-07-03",26,70,29350,165008.5
"AK","anchorage","nurse","2020-07-04",28,70,29350,159217
"AK","anchorage","nurse","2020-07-06",28,70,29350,159217
"AK","anchorage","nurse","2020-07-07",26,70,29350,165008.5
"AK","anchorage","nurse","2020-07-08",26.4,70,29350,163850.2
"AK","anchorage","nurse","2020-07-09",24,70,29350,170800
"AK","anchorage","nurse","2020-07-10",26.4,70,29350,163850.2
"AK","anchorage","nurse","2020-07-11",28,70,29350,159217
"AK","anchorage","nurse","2020-07-14",26.45,48,47258,170800
"AK","anchorage","nurse","2020-07-15",26.4944444444444,67.5555555555556,31339.7777777778,164365
"AK","anchorage","nurse","2020-07-16",26.45,48,47258,170800
"AK","anchorage","nurse","2020-07-17",26.2392857142857,65.2857142857143,33187.4285714286,165835.857142857
"AK","anchorage","nurse","2020-07-18",28,70,29350,159217
"AK","anchorage","nurse","2020-07-20",25.6,70,29350,166166.8
"AK","anchorage","nurse","2020-07-21",26.4083333333333,66.3333333333333,32334.6666666667,165008.5
"AK","anchorage","nurse","2020-07-22",25.7669230769231,64.1169230769231,34427.5384615385,169484.769230769
"AK","anchorage","nurse","2020-07-23",25.225,59,38304,170800
"AK","anchorage","nurse","2020-07-24",24.4861538461538,59.04,38560.1538461538,174830.769230769
"AK","anchorage","nurse","2020-07-25",24.1183333333333,61.7933333333333,36343,175166.666666667
"AK","anchorage","nurse","2020-07-27",24,70,29350,170800
"AK","anchorage","nurse","2020-07-28",24.355,45.38,50329,183900
"AK","anchorage","nurse","2020-07-29",26.45,48,47258,170800
"AK","anchorage","nurse","2020-07-30",24.355,45.38,50329,183900
"AK","anchorage","nurse","2020-07-31",26.45,48,47258,170800
"AK","anchorage","nurse","2020-08-01",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-02",26.45,48,47258,170800
"AK","anchorage","nurse","2020-08-03",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-04",24.355,45.38,50329,183900
"AK","anchorage","nurse","2020-08-05",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-06",25.0533333333333,46.2533333333333,49305.3333333333,179533.333333333
"AK","anchorage","nurse","2020-08-07",25.2528571428571,46.5028571428571,49012.8571428571,178285.714285714
"AK","anchorage","nurse","2020-08-08",25.612,46.952,48486.4,176040
"AK","anchorage","nurse","2020-08-09",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-10",26.45,48,47258,170800
"AK","anchorage","nurse","2020-08-11",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-12",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-14",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-15",22.26,42.76,53400,197000
"AK","anchorage","nurse","2020-08-17",22.26,42.76,53400,197000
"AK","badger","nurse","2020-06-23",25.65,100,30113,147000
"AK","badger","nurse","2020-06-30",36.98,100,30113,147000
"AK","badger","nurse","2020-07-02",36.98,100,30113,147000
"AK","badger","nurse","2020-07-04",25.65,100,30113,147000
"AK","badger","nurse","2020-07-06",31.315,100,30113,147000
"AK","badger","nurse","2020-07-07",31.315,100,30113,147000
"AK","badger","nurse","2020-07-08",36.98,100,30113,147000
"AK","badger","nurse","2020-07-09",29.4266666666667,100,30113,147000
"AK","badger","nurse","2020-07-10",36.98,100,30113,147000
"AK","badger","nurse","2020-07-13",25.65,100,30113,147000
"AK","badger","nurse","2020-07-14",27.656,100,30113,147000
"AK","badger","nurse","2020-07-15",28.32,100,30113,147000
"AK","badger","nurse","2020-07-16",29.3183333333333,100,30113,147000
"AK","badger","nurse","2020-07-17",28.7942857142857,100,30113,147000
"AK","badger","nurse","2020-07-18",28.32,100,30113,147000
"AK","badger","nurse","2020-07-20",25.65,100,30113,147000
"AK","badger","nurse","2020-07-22",29.21,100,30113,147000
"AK","badger","nurse","2020-07-23",25,100,30113,147000
"AK","badger","nurse","2020-07-24",32.6533333333333,82.6666666666667,30113,147000
"AK","badger","nurse","2020-07-25",31.9883333333333,100,30113,147000
"AK","badger","nurse","2020-07-27",32.3625,93.5,30113,147000
"AK","badger","nurse","2020-07-28",24.3333333333333,65.3333333333333,30113,147000
"AK","badger","nurse","2020-07-29",25,100,30113,147000
"AK","badger","nurse","2020-07-30",24.6666666666667,82.6666666666667,30113,147000
"AK","badger","nurse","2020-07-31",24.75,87,30113,147000
"AK","badger","nurse","2020-08-01",25,100,30113,147000
"AK","badger","nurse","2020-08-07",24.5,74,30113,147000
"AK","badger","nurse","2020-08-08",25,100,30113,147000
"AK","badger","nurse","2020-08-09",24,48,30113,147000
"AK","badger","nurse","2020-08-10",25,100,30113,147000
"AK","badger","nurse","2020-08-11",24,48,30113,147000
"AK","badger","nurse","2020-08-13",24,48,30113,147000
"AK","badger","nurse","2020-08-14",24,48,30113,147000
"AK","badger","nurse","2020-08-15",24,48,30113,147000
"AK","college","nurse","2020-06-24",24,82.5,55204,147000
"AK","college","nurse","2020-07-01",24,82.5,55204,147000
"AK","college","nurse","2020-07-02",24,82.5,55204,147000
"AK","college","nurse","2020-07-05",24,82.5,55204,147000
"AK","college","nurse","2020-07-06",25.5,86.875,55204,147000
"AK","college","nurse","2020-07-07",26,88.3333333333333,55204,147000
"AK","college","nurse","2020-07-08",24,82.5,55204,147000
"AK","college","nurse","2020-07-09",27,91.25,55204,147000
"AK","college","nurse","2020-07-13",27,91.25,55204,147000
"AK","college","nurse","2020-07-14",25.4,81.5,54163.2,167600
"AK","college","nurse","2020-07-15",27.1666666666667,87.5,54336.6666666667,164166.666666667
"AK","college","nurse","2020-07-16",26.0833333333333,86.4583333333333,54770.3333333333,155583.333333333
"AK","college","nurse","2020-07-17",25.5555555555556,81.3888888888889,54047.5555555556,169888.888888889
"AK","college","nurse","2020-07-18",24.3333333333333,75,53469.3333333333,181333.333333333
"AK","college","nurse","2020-07-20",24,82.5,52602,147000
"AK","college","nurse","2020-07-21",24,82.5,55204,147000
"AK","college","nurse","2020-07-22",27,91.25,55204,147000
"AK","college","nurse","2020-07-23",27.5,80,52602,198500
"AK","college","nurse","2020-07-24",30,100,55204,147000
"AK","college","nurse","2020-07-25",28.75,90,53903,172750
"AK","college","nurse","2020-07-27",27,91.25,52602,147000
"AK","college","nurse","2020-07-28",24,82.5,50000,147000
"AK","college","nurse","2020-07-29",24.5,71.25,50000,198500
"AK","college","nurse","2020-07-30",24.75,65.625,50000,224250
"AK","college","nurse","2020-07-31",24.25,76.875,50000,172750
"AK","college","nurse","2020-08-04",25,60,50000,250000
"AK","college","nurse","2020-08-05",25,60,50000,250000
"AK","college","nurse","2020-08-06",25,60,50000,250000
"AK","college","nurse","2020-08-07",24.6666666666667,67.5,50000,215666.666666667
"AK","college","nurse","2020-08-08",25,60,50000,250000
"AK","college","nurse","2020-08-09",24,82.5,50000,147000
"AK","college","nurse","2020-08-10",25,60,50000,250000
"AK","college","nurse","2020-08-11",24,82.5,50000,147000
"AK","college","nurse","2020-08-13",24,82.5,50000,147000
"AK","college","nurse","2020-08-14",24,82.5,50000,147000
"AK","college","nurse","2020-08-15",24,82.5,50000,147000
"AK","fairbanks","nurse","2020-06-23",25.65,100,30113,147000
"AK","fairbanks","nurse","2020-07-02",24,100,30113,147000
"AK","fairbanks","nurse","2020-07-04",24.825,100,30113,147000
"AK","fairbanks","nurse","2020-07-06",25.1785714285714,100,30113,147000
"AK","fairbanks","nurse","2020-07-07",25.65,100,30113,147000
"AK","fairbanks","nurse","2020-07-08",25.65,100,30113,147000
"AK","fairbanks","nurse","2020-07-09",24.66,100,30113,147000
"AK","fairbanks","nurse","2020-07-10",24,100,30113,147000
"AK","fairbanks","nurse","2020-07-13",25.65,100,30113,147000
"AK","fairbanks","nurse","2020-07-14",25.52,91.2,30113,147000
"AK","fairbanks","nurse","2020-07-15",24.4416666666667,92.6666666666667,30113,147000
"AK","fairbanks","nurse","2020-07-16",24.8384615384615,96.6153846153846,30113,147000
"AK","fairbanks","nurse","2020-07-17",25.075,89,30113,147000
"AK","fairbanks","nurse","2020-07-18",24.825,100,30113,147000
"AK","fairbanks","nurse","2020-07-20",24,100,30113,147000
"AK","fairbanks","nurse","2020-07-22",24,100,30113,147000
"AK","fairbanks","nurse","2020-07-23",25,56,30113,147000
"AK","fairbanks","nurse","2020-07-24",24,100,30113,145795
"AK","fairbanks","nurse","2020-07-25",24.4375,80.75,30113,147000
"AK","fairbanks","nurse","2020-07-26",24,100,30113,142180
"AK","fairbanks","nurse","2020-07-27",24.1,95.6,30113,144108
"AK","fairbanks","nurse","2020-07-28",24.3333333333333,85.3333333333333,30113,143786.666666667
"AK","fairbanks","nurse","2020-07-29",24.5,78,30113,144590
"AK","fairbanks","nurse","2020-07-30",25,56,30113,147000
"AK","fairbanks","nurse","2020-07-31",24.6666666666667,70.6666666666667,30113,145393.333333333
"AK","fairbanks","nurse","2020-08-01",25,56,30113,147000
"AK","fairbanks","nurse","2020-08-04",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-05",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-06",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-07",24.5,78,30113,144590
"AK","fairbanks","nurse","2020-08-08",25,56,30113,147000
"AK","fairbanks","nurse","2020-08-09",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-10",25,56,30113,147000
"AK","fairbanks","nurse","2020-08-11",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-12",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-13",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-14",24,100,30113,142180
"AK","fairbanks","nurse","2020-08-15",24,100,30113,142180
"AK","juneau","nurse","2020-06-27",32.32,100,73017,139785
"AK","juneau","nurse","2020-07-01",28.66,100,73017,139785
"AK","juneau","nurse","2020-07-02",25,100,73017,139785
"AK","juneau","nurse","2020-07-06",32.32,100,73017,139785
"AK","juneau","nurse","2020-07-07",29.88,100,73017,139785
"AK","juneau","nurse","2020-07-08",32.32,100,73017,139785
"AK","juneau","nurse","2020-07-13",28.66,100,73017,139785
"AK","juneau","nurse","2020-07-14",32.32,100,73017,139785
"AK","juneau","nurse","2020-07-15",28.66,100,73017,139785
"AK","juneau","nurse","2020-07-16",32.32,100,73017,139785
"AK","juneau","nurse","2020-07-17",29.88,100,73017,139785
"AK","juneau","nurse","2020-07-18",28.66,100,61508.5,125892.5
"AK","juneau","nurse","2020-07-20",30.83,91.25,61508.5,125892.5
"AK","juneau","nurse","2020-07-21",25,100,61508.5,125892.5
"AK","juneau","nurse","2020-07-23",25,100,73017,139785
"AK","juneau","nurse","2020-07-24",27,95.625,64385.625,129365.625
"AK","juneau","nurse","2020-07-25",26.7777777777778,96.1111111111111,57672.3333333333,121261.666666667
"AK","juneau","nurse","2020-07-26",25,100,50000,112000
"AK","juneau","nurse","2020-07-27",26.1428571428571,97.5,66440.7142857143,131846.428571429
"AK","juneau","nurse","2020-07-28",33,82.5,50000,112000
"AK","juneau","nurse","2020-07-29",33,82.5,50000,112000
"AK","juneau","nurse","2020-07-30",25,100,50000,112000
"AK","juneau","nurse","2020-07-31",31.6666666666667,85.4166666666667,50000,112000
