"state","city","datePosted","nurse_jobsPosted"
"AK","anchorage",2020-06-26,1
"AK","anchorage",2020-07-01,2
"AK","anchorage",2020-07-02,2
"AK","anchorage",2020-07-03,2
"AK","anchorage",2020-07-04,1
"AK","anchorage",2020-07-06,1
"AK","anchorage",2020-07-07,2
"AK","anchorage",2020-07-08,5
"AK","anchorage",2020-07-09,1
"AK","anchorage",2020-07-10,5
"AK","anchorage",2020-07-11,1
"AK","anchorage",2020-07-14,1
"AK","anchorage",2020-07-15,9
"AK","anchorage",2020-07-16,1
"AK","anchorage",2020-07-17,14
"AK","anchorage",2020-07-18,3
"AK","anchorage",2020-07-20,5
"AK","anchorage",2020-07-21,6
"AK","anchorage",2020-07-22,13
"AK","anchorage",2020-07-23,2
"AK","anchorage",2020-07-24,13
"AK","anchorage",2020-07-25,6
"AK","anchorage",2020-07-27,1
"AK","anchorage",2020-07-28,2
"AK","anchorage",2020-07-29,2
"AK","anchorage",2020-07-30,6
"AK","anchorage",2020-07-31,2
"AK","anchorage",2020-08-01,1
"AK","anchorage",2020-08-02,1
"AK","anchorage",2020-08-03,1
"AK","anchorage",2020-08-04,4
"AK","anchorage",2020-08-05,2
"AK","anchorage",2020-08-06,6
"AK","anchorage",2020-08-07,7
"AK","anchorage",2020-08-08,5
"AK","anchorage",2020-08-09,1
"AK","anchorage",2020-08-10,3
"AK","anchorage",2020-08-11,8
"AK","anchorage",2020-08-12,2
"AK","anchorage",2020-08-14,5
"AK","anchorage",2020-08-15,4
"AK","anchorage",2020-08-17,3
"AK","badger",2020-06-23,1
"AK","badger",2020-06-30,1
"AK","badger",2020-07-02,1
"AK","badger",2020-07-04,1
"AK","badger",2020-07-06,4
"AK","badger",2020-07-07,2
"AK","badger",2020-07-08,1
"AK","badger",2020-07-09,3
"AK","badger",2020-07-10,1
"AK","badger",2020-07-13,1
"AK","badger",2020-07-14,5
"AK","badger",2020-07-15,4
"AK","badger",2020-07-16,12
"AK","badger",2020-07-17,7
"AK","badger",2020-07-18,4
"AK","badger",2020-07-20,1
"AK","badger",2020-07-22,3
"AK","badger",2020-07-23,1
"AK","badger",2020-07-24,3
"AK","badger",2020-07-25,12
"AK","badger",2020-07-27,8
"AK","badger",2020-07-28,3
"AK","badger",2020-07-29,1
"AK","badger",2020-07-30,3
"AK","badger",2020-07-31,4
"AK","badger",2020-08-01,1
"AK","badger",2020-08-07,2
"AK","badger",2020-08-08,2
"AK","badger",2020-08-09,1
"AK","badger",2020-08-10,1
"AK","badger",2020-08-11,5
"AK","badger",2020-08-13,1
"AK","badger",2020-08-14,1
"AK","badger",2020-08-15,4
"AK","college",2020-06-24,1
"AK","college",2020-07-01,1
"AK","college",2020-07-02,1
"AK","college",2020-07-05,1
"AK","college",2020-07-06,4
"AK","college",2020-07-07,3
"AK","college",2020-07-08,1
"AK","college",2020-07-09,6
"AK","college",2020-07-13,2
"AK","college",2020-07-14,5
"AK","college",2020-07-15,6
"AK","college",2020-07-16,12
"AK","college",2020-07-17,9
"AK","college",2020-07-18,3
"AK","college",2020-07-20,2
"AK","college",2020-07-21,1
"AK","college",2020-07-22,2
"AK","college",2020-07-23,2
"AK","college",2020-07-24,1
"AK","college",2020-07-25,8
"AK","college",2020-07-27,2
"AK","college",2020-07-28,2
"AK","college",2020-07-29,2
"AK","college",2020-07-30,4
"AK","college",2020-07-31,4
"AK","college",2020-08-04,1
"AK","college",2020-08-05,1
"AK","college",2020-08-06,1
"AK","college",2020-08-07,3
"AK","college",2020-08-08,2
"AK","college",2020-08-09,1
"AK","college",2020-08-10,1
"AK","college",2020-08-11,6
"AK","college",2020-08-13,3
"AK","college",2020-08-14,3
"AK","college",2020-08-15,3
"AK","fairbanks",2020-06-23,1
"AK","fairbanks",2020-07-02,1
"AK","fairbanks",2020-07-04,2
"AK","fairbanks",2020-07-06,7
"AK","fairbanks",2020-07-07,1
"AK","fairbanks",2020-07-08,1
"AK","fairbanks",2020-07-09,5
"AK","fairbanks",2020-07-10,1
"AK","fairbanks",2020-07-13,1
"AK","fairbanks",2020-07-14,5
"AK","fairbanks",2020-07-15,6
"AK","fairbanks",2020-07-16,13
"AK","fairbanks",2020-07-17,8
"AK","fairbanks",2020-07-18,2
"AK","fairbanks",2020-07-20,1
"AK","fairbanks",2020-07-22,1
"AK","fairbanks",2020-07-23,1
"AK","fairbanks",2020-07-24,4
"AK","fairbanks",2020-07-25,16
"AK","fairbanks",2020-07-26,1
"AK","fairbanks",2020-07-27,10
"AK","fairbanks",2020-07-28,3
"AK","fairbanks",2020-07-29,2
"AK","fairbanks",2020-07-30,3
