"state","city","jobSearched","jobPosted_nDays_ago","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary"
"AK","anchorage","personal assistant","2020-06-26",14,31,30000,76915
"AK","anchorage","personal assistant","2020-06-30",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-01",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-08",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-09",13.75,31,30000,76915
"AK","anchorage","personal assistant","2020-07-10",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-11",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-15",13.5,31,30000,76915
"AK","anchorage","personal assistant","2020-07-16",14,31,30000,72234.6666666667
"AK","anchorage","personal assistant","2020-07-17",13.5,31,30000,76915
"AK","anchorage","personal assistant","2020-07-23",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-27",13,31,30000,76915
"AK","anchorage","personal assistant","2020-07-28",14,31,30000,76915
"AK","anchorage","personal assistant","2020-07-30",13,31,30000,76915
"AK","anchorage","personal assistant","2020-08-07",14,22.3333333333333,30000,125444.666666667
"AK","anchorage","personal assistant","2020-08-08",14,26.6666666666667,30000,94159.3333333333
"AK","anchorage","personal assistant","2020-08-10",14,24.5,30000,109802
"AK","anchorage","personal assistant","2020-08-12",14,18,30000,156730
"AK","badger","personal assistant","2020-07-11",13,14,95000,1e+05
"AK","badger","personal assistant","2020-07-15",13.5,17.315,NA,NA
"AK","badger","personal assistant","2020-07-16",14,19.5,NA,NA
"AK","badger","personal assistant","2020-07-28",14,20.63,NA,NA
"AK","badger","personal assistant","2020-07-29",14,25,NA,NA
"AK","badger","personal assistant","2020-08-06",14,25,NA,NA
"AK","badger","personal assistant","2020-08-08",14,25,NA,NA
"AK","college","personal assistant","2020-07-11",13,14,95000,1e+05
"AK","college","personal assistant","2020-07-15",13.5,17.315,NA,NA
"AK","college","personal assistant","2020-07-16",14,19.5,NA,NA
"AK","college","personal assistant","2020-07-28",14,20.63,NA,NA
"AK","college","personal assistant","2020-07-29",14,25,NA,NA
"AK","college","personal assistant","2020-08-06",14,25,NA,NA
"AK","college","personal assistant","2020-08-08",14,25,NA,NA
"AK","fairbanks","personal assistant","2020-07-15",14,17.315,NA,NA
"AK","fairbanks","personal assistant","2020-07-16",14,19.5,NA,NA
"AK","fairbanks","personal assistant","2020-07-28",14,20.63,NA,NA
"AK","fairbanks","personal assistant","2020-07-29",14,25,NA,NA
