"state","city","datePosted","personalAssistant_jobsPosted"
"AK","anchorage",2020-06-26,2
"AK","anchorage",2020-06-30,1
"AK","anchorage",2020-07-01,1
"AK","anchorage",2020-07-08,1
"AK","anchorage",2020-07-09,4
"AK","anchorage",2020-07-10,1
"AK","anchorage",2020-07-11,1
"AK","anchorage",2020-07-15,2
"AK","anchorage",2020-07-16,3
"AK","anchorage",2020-07-17,2
"AK","anchorage",2020-07-23,1
"AK","anchorage",2020-07-27,1
"AK","anchorage",2020-07-28,1
"AK","anchorage",2020-07-30,1
"AK","anchorage",2020-08-07,3
"AK","anchorage",2020-08-08,3
"AK","anchorage",2020-08-10,2
"AK","anchorage",2020-08-12,1
"AK","badger",2020-07-11,1
"AK","badger",2020-07-15,2
"AK","badger",2020-07-16,2
"AK","badger",2020-07-28,1
"AK","badger",2020-07-29,1
"AK","badger",2020-08-06,1
"AK","badger",2020-08-08,1
"AK","college",2020-07-11,1
"AK","college",2020-07-15,2
"AK","college",2020-07-16,2
"AK","college",2020-07-28,1
"AK","college",2020-07-29,1
"AK","college",2020-08-06,1
"AK","college",2020-08-08,1
"AK","fairbanks",2020-07-15,2
"AK","fairbanks",2020-07-16,2
"AK","fairbanks",2020-07-28,1
"AK","fairbanks",2020-07-29,1
"AK","fairbanks",2020-08-06,1
"AK","fairbanks",2020-08-08,1
"AK","juneau",2020-07-13,1
"AK","juneau",2020-07-14,1
"AK","juneau",2020-07-15,2
"AK","juneau",2020-07-22,1
"AK","juneau",2020-07-23,1
"AK","juneau",2020-08-01,2
"AK","juneau",2020-08-02,1
"AK","knik-fairview",2020-06-26,1
"AK","knik-fairview",2020-06-30,1
"AK","knik-fairview",2020-07-01,1
"AK","knik-fairview",2020-07-08,1
"AK","knik-fairview",2020-07-09,4
"AK","knik-fairview",2020-07-10,1
"AK","knik-fairview",2020-07-11,2
"AK","knik-fairview",2020-07-15,2
"AK","knik-fairview",2020-07-16,2
"AK","knik-fairview",2020-07-17,2
"AK","knik-fairview",2020-07-18,2
"AK","knik-fairview",2020-07-19,2
"AK","knik-fairview",2020-07-23,1
"AK","knik-fairview",2020-07-24,1
"AK","knik-fairview",2020-07-27,1
"AK","knik-fairview",2020-07-28,1
"AK","knik-fairview",2020-08-05,1
"AK","knik-fairview",2020-08-06,1
"AK","knik-fairview",2020-08-07,2
"AK","knik-fairview",2020-08-08,2
"AK","knik-fairview",2020-08-12,1
"AK","lakes",2020-07-11,1
"AK","lakes",2020-07-17,2
"AK","lakes",2020-07-18,2
"AK","lakes",2020-07-19,2
"AK","lakes",2020-07-24,1
"AK","lakes",2020-07-27,1
"AK","lakes",2020-08-07,1
"AK","sitka",2020-07-11,1
"AK","tanaina",2020-07-11,1
"AK","tanaina",2020-07-17,2
"AK","tanaina",2020-07-18,2
"AK","tanaina",2020-07-19,2
"AK","tanaina",2020-07-24,1
"AK","tanaina",2020-07-27,1
"AK","tanaina",2020-08-07,1
"AK","wasilla",2020-07-11,1
"AK","wasilla",2020-07-17,2
"AK","wasilla",2020-07-18,2
"AK","wasilla",2020-07-19,2
"AK","wasilla",2020-07-24,1
"AK","wasilla",2020-07-27,1
"AK","wasilla",2020-08-07,1
"AL","auburn",2020-07-14,2
"AL","auburn",2020-07-31,1
"AL","auburn",2020-08-01,1
"AL","auburn",2020-08-14,1
"AL","birmingham",2020-06-22,1
"AL","birmingham",2020-06-25,1
"AL","birmingham",2020-07-02,2
"AL","birmingham",2020-07-09,1
"AL","birmingham",2020-07-13,3
"AL","birmingham",2020-07-14,3
"AL","birmingham",2020-07-15,8
"AL","birmingham",2020-07-16,3
"AL","birmingham",2020-07-17,3
"AL","birmingham",2020-07-19,2
"AL","birmingham",2020-07-20,2
"AL","birmingham",2020-07-21,1
"AL","birmingham",2020-07-24,1
"AL","birmingham",2020-07-27,1
"AL","birmingham",2020-07-28,1
"AL","birmingham",2020-07-31,5
"AL","birmingham",2020-08-01,1
"AL","birmingham",2020-08-02,1
"AL","birmingham",2020-08-04,1
"AL","birmingham",2020-08-09,3
"AL","birmingham",2020-08-11,1
"AL","birmingham",2020-08-14,2
"AL","birmingham",2020-08-17,1
"AL","decatur",2020-06-28,1
"AL","decatur",2020-06-29,1
"AL","decatur",2020-06-30,1
"AL","decatur",2020-07-08,1
"AL","decatur",2020-07-09,1
"AL","decatur",2020-07-13,1
"AL","decatur",2020-07-16,1
"AL","decatur",2020-07-17,3
"AL","decatur",2020-07-20,2
"AL","decatur",2020-07-22,4
"AL","decatur",2020-07-23,3
"AL","decatur",2020-07-24,1
"AL","decatur",2020-08-03,5
"AL","decatur",2020-08-04,1
"AL","decatur",2020-08-07,1
"AL","decatur",2020-08-08,1
"AL","decatur",2020-08-10,1
"AL","decatur",2020-08-11,1
"AL","decatur",2020-08-13,1
"AL","decatur",2020-08-16,1
"AL","decatur",2020-08-17,1
"AL","dothan",2020-07-06,1
"AL","dothan",2020-07-09,1
"AL","dothan",2020-07-10,1
"AL","dothan",2020-07-11,1
"AL","dothan",2020-08-14,1
"AL","hoover",2020-06-22,1
"AL","hoover",2020-06-25,1
"AL","hoover",2020-07-02,2
"AL","hoover",2020-07-09,1
"AL","hoover",2020-07-13,4
"AL","hoover",2020-07-14,3
"AL","hoover",2020-07-15,8
"AL","hoover",2020-07-16,3
"AL","hoover",2020-07-17,3
"AL","hoover",2020-07-19,2
"AL","hoover",2020-07-20,2
"AL","hoover",2020-07-21,1
"AL","hoover",2020-07-24,1
"AL","hoover",2020-07-27,1
"AL","hoover",2020-07-28,1
"AL","hoover",2020-07-31,5
"AL","hoover",2020-08-01,1
"AL","hoover",2020-08-02,1
"AL","hoover",2020-08-04,1
"AL","hoover",2020-08-09,3
"AL","hoover",2020-08-11,1
"AL","hoover",2020-08-14,2
"AL","hoover",2020-08-17,1
"AL","huntsville",2020-06-28,1
"AL","huntsville",2020-06-29,1
"AL","huntsville",2020-06-30,1
"AL","huntsville",2020-07-08,1
"AL","huntsville",2020-07-09,1
"AL","huntsville",2020-07-13,1
"AL","huntsville",2020-07-16,2
"AL","huntsville",2020-07-17,4
"AL","huntsville",2020-07-22,4
"AL","huntsville",2020-07-23,3
"AL","huntsville",2020-07-24,1
"AL","huntsville",2020-07-30,2
"AL","huntsville",2020-07-31,1
"AL","huntsville",2020-08-03,5
"AL","huntsville",2020-08-04,1
"AL","huntsville",2020-08-10,3
"AL","huntsville",2020-08-11,1
"AL","huntsville",2020-08-13,1
"AL","huntsville",2020-08-16,1
"AL","huntsville",2020-08-17,1
"AL","madison",2020-06-28,1
"AL","madison",2020-06-29,1
"AL","madison",2020-06-30,1
"AL","madison",2020-07-08,1
"AL","madison",2020-07-09,1
"AL","madison",2020-07-13,1
"AL","madison",2020-07-14,1
"AL","madison",2020-07-16,1
"AL","madison",2020-07-17,3
"AL","madison",2020-07-20,2
"AL","madison",2020-07-22,4
"AL","madison",2020-07-23,3
"AL","madison",2020-07-24,1
"AL","madison",2020-07-30,2
"AL","madison",2020-07-31,1
"AL","madison",2020-08-03,5
"AL","madison",2020-08-04,1
"AL","madison",2020-08-08,1
"AL","madison",2020-08-10,2
"AL","madison",2020-08-11,1
"AL","madison",2020-08-13,1
"AL","madison",2020-08-16,1
"AL","madison",2020-08-17,2
"AL","mobile",2020-07-08,2
"AL","mobile",2020-07-09,1
"AL","mobile",2020-07-11,1
"AL","mobile",2020-07-28,4
"AL","mobile",2020-07-30,1
"AL","mobile",2020-07-31,1
"AL","mobile",2020-08-11,1
"AL","mobile",2020-08-12,1
