"city","state","price","todaysDate","MinPrice","MaxPrice","AvgPrice"
"birmingham","AL","2067 - 2737","Mon Aug 10 07:06:49 2020",2067,2737,2402
"birmingham","AL","809","Mon Aug 10 07:06:49 2020",809,NA,809
"birmingham","AL","1440 - 1605","Mon Aug 10 07:06:49 2020",1440,1605,1522.5
"birmingham","AL","1000 - 1525","Mon Aug 10 07:06:49 2020",1000,1525,1262.5
"birmingham","AL","1534 - 1962","Mon Aug 10 07:06:49 2020",1534,1962,1748
"birmingham","AL","980 - 1255","Mon Aug 10 07:06:49 2020",980,1255,1117.5
"birmingham","AL","1141 - 2412","Mon Aug 10 07:06:49 2020",1141,2412,1776.5
"birmingham","AL","1447 - 3049","Mon Aug 10 07:06:49 2020",1447,3049,2248
"birmingham","AL","1069 - 1287","Mon Aug 10 07:06:49 2020",1069,1287,1178
"birmingham","AL","1150 - 1752","Mon Aug 10 07:06:49 2020",1150,1752,1451
"birmingham","AL","910 - 1614","Mon Aug 10 07:06:49 2020",910,1614,1262
"birmingham","AL","1180 - 2791","Mon Aug 10 07:06:49 2020",1180,2791,1985.5
"birmingham","AL","1193 - 1609","Mon Aug 10 07:06:49 2020",1193,1609,1401
"birmingham","AL","1965 - 2460","Mon Aug 10 07:06:49 2020",1965,2460,2212.5
"birmingham","AL","945 - 1190","Mon Aug 10 07:06:49 2020",945,1190,1067.5
"birmingham","AL","1147 - 1275","Mon Aug 10 07:06:49 2020",1147,1275,1211
"birmingham","AL","1213 - 2503","Mon Aug 10 07:06:49 2020",1213,2503,1858
"birmingham","AL","1442 - 2964","Mon Aug 10 07:06:49 2020",1442,2964,2203
"birmingham","AL","1400 - 1600","Mon Aug 10 07:06:49 2020",1400,1600,1500
"birmingham","AL","1435 - 1969","Mon Aug 10 07:06:49 2020",1435,1969,1702
"birmingham","AL","1156 - 1675","Mon Aug 10 07:06:49 2020",1156,1675,1415.5
"birmingham","AL","964 - 1248","Mon Aug 10 07:06:49 2020",964,1248,1106
"birmingham","AL","1159 - 1369","Mon Aug 10 07:06:49 2020",1159,1369,1264
"birmingham","AL","2070 - 2380","Mon Aug 10 07:06:49 2020",2070,2380,2225
"birmingham","AL","934 - 1224","Mon Aug 10 07:06:49 2020",934,1224,1079
"birmingham","AL","879 - 1159","Mon Aug 10 07:06:49 2020",879,1159,1019
"birmingham","AL","1110 - 1260","Mon Aug 10 07:06:49 2020",1110,1260,1185
"birmingham","AL","1200 - 1335","Mon Aug 10 07:06:49 2020",1200,1335,1267.5
"birmingham","AL","889 - 1099","Mon Aug 10 07:06:49 2020",889,1099,994
"birmingham","AL","1221 - 1375","Mon Aug 10 07:06:49 2020",1221,1375,1298
"birmingham","AL","900 - 940","Mon Aug 10 07:06:49 2020",900,940,920
"birmingham","AL","1039 - 1515","Mon Aug 10 07:06:49 2020",1039,1515,1277
"birmingham","AL","1195 - 1320","Mon Aug 10 07:06:49 2020",1195,1320,1257.5
"birmingham","AL","775 - 850","Mon Aug 10 07:06:49 2020",775,850,812.5
"birmingham","AL","999 - 1155","Mon Aug 10 07:06:49 2020",999,1155,1077
"birmingham","AL","1270 - 1520","Mon Aug 10 07:06:49 2020",1270,1520,1395
"birmingham","AL","975 - 1450","Mon Aug 10 07:06:49 2020",975,1450,1212.5
"birmingham","AL","905 - 1175","Mon Aug 10 07:06:49 2020",905,1175,1040
"birmingham","AL","1535 - 2085","Mon Aug 10 07:06:49 2020",1535,2085,1810
"birmingham","AL","988 - 2158","Mon Aug 10 07:06:49 2020",988,2158,1573
"birmingham","AL","825 - 899","Mon Aug 10 07:06:49 2020",825,899,862
"birmingham","AL","1116 - 1375","Mon Aug 10 07:06:49 2020",1116,1375,1245.5
"birmingham","AL","835 - 2367","Mon Aug 10 07:06:49 2020",835,2367,1601
"birmingham","AL","2550 - 2600","Mon Aug 10 07:06:49 2020",2550,2600,2575
"birmingham","AL","845 - 865","Mon Aug 10 07:06:49 2020",845,865,855
"birmingham","AL","985 - 1365","Mon Aug 10 07:06:49 2020",985,1365,1175
"birmingham","AL","1390 - 1795","Mon Aug 10 07:06:49 2020",1390,1795,1592.5
"birmingham","AL","1008 - 1108","Mon Aug 10 07:06:49 2020",1008,1108,1058
"birmingham","AL","1203 - 1983","Mon Aug 10 07:06:49 2020",1203,1983,1593
"birmingham","AL","1053","Mon Aug 10 07:06:49 2020",1053,NA,1053
"birmingham","AL","1291 - 1500","Mon Aug 10 07:06:49 2020",1291,1500,1395.5
"birmingham","AL","1148 - 1449","Mon Aug 10 07:06:49 2020",1148,1449,1298.5
"birmingham","AL","971 - 1111","Mon Aug 10 07:06:49 2020",971,1111,1041
"birmingham","AL","1950 - 2145","Mon Aug 10 07:06:49 2020",1950,2145,2047.5
"birmingham","AL","1525 - 1750","Mon Aug 10 07:06:49 2020",1525,1750,1637.5
"birmingham","AL","740 - 890","Mon Aug 10 07:06:49 2020",740,890,815
"birmingham","AL","1714 - 3202","Mon Aug 10 07:06:49 2020",1714,3202,2458
"birmingham","AL","1190 - 1720","Mon Aug 10 07:06:49 2020",1190,1720,1455
"birmingham","AL","1358 - 3703","Mon Aug 10 07:06:49 2020",1358,3703,2530.5
"birmingham","AL","838","Mon Aug 10 07:06:49 2020",838,NA,838
"birmingham","AL","1035 - 1185","Mon Aug 10 07:06:49 2020",1035,1185,1110
"birmingham","AL","1575 - 1845","Mon Aug 10 07:06:49 2020",1575,1845,1710
"birmingham","AL","1093 - 2353","Mon Aug 10 07:06:49 2020",1093,2353,1723
"birmingham","AL","960 - 1007","Mon Aug 10 07:06:49 2020",960,1007,983.5
"birmingham","AL","1099 - 1129","Mon Aug 10 07:06:49 2020",1099,1129,1114
"birmingham","AL","1343 - 2046","Mon Aug 10 07:06:49 2020",1343,2046,1694.5
"birmingham","AL","1620 - 1680","Mon Aug 10 07:06:49 2020",1620,1680,1650
"birmingham","AL","710 - 720","Mon Aug 10 07:06:49 2020",710,720,715
"birmingham","AL","1660 - 2205","Mon Aug 10 07:06:49 2020",1660,2205,1932.5
"birmingham","AL","1035","Mon Aug 10 07:06:49 2020",1035,NA,1035
"birmingham","AL","899","Mon Aug 10 07:06:49 2020",899,NA,899
"birmingham","AL","910","Mon Aug 10 07:06:49 2020",910,NA,910
"birmingham","AL","900 - 1125","Mon Aug 10 07:06:49 2020",900,1125,1012.5
"birmingham","AL","780 - 790","Mon Aug 10 07:06:49 2020",780,790,785
"birmingham","AL","825 - 1115","Mon Aug 10 07:06:49 2020",825,1115,970
"birmingham","AL","750 - 825","Mon Aug 10 07:06:49 2020",750,825,787.5
"birmingham","AL","775","Mon Aug 10 07:06:49 2020",775,NA,775
"birmingham","AL","1800 - 1950","Mon Aug 10 07:06:49 2020",1800,1950,1875
"birmingham","AL","1567 - 2576","Mon Aug 10 07:06:49 2020",1567,2576,2071.5
"birmingham","AL","1214 - 1578","Mon Aug 10 07:06:49 2020",1214,1578,1396
"birmingham","AL","950 - 1050","Mon Aug 10 07:06:49 2020",950,1050,1000
"birmingham","AL","710","Mon Aug 10 07:06:49 2020",710,NA,710
"birmingham","AL","971 - 1132","Mon Aug 10 07:06:49 2020",971,1132,1051.5
"birmingham","AL","1000 - 1150","Mon Aug 10 07:06:49 2020",1000,1150,1075
"birmingham","AL","925","Mon Aug 10 07:06:49 2020",925,NA,925
"birmingham","AL","2111","Mon Aug 10 07:06:49 2020",2111,NA,2111
"birmingham","AL","1870","Mon Aug 10 07:06:49 2020",1870,NA,1870
"birmingham","AL","2095","Mon Aug 10 07:06:49 2020",2095,NA,2095
"birmingham","AL","799","Mon Aug 10 07:06:49 2020",799,NA,799
"birmingham","AL","550 - 651","Mon Aug 10 07:06:49 2020",550,651,600.5
"birmingham","AL","1065 - 1250","Mon Aug 10 07:06:49 2020",1065,1250,1157.5
"birmingham","AL","1447 - 1563","Mon Aug 10 07:06:49 2020",1447,1563,1505
"birmingham","AL","715","Mon Aug 10 07:06:49 2020",715,NA,715
"birmingham","AL","1800 - 2400","Mon Aug 10 07:06:49 2020",1800,2400,2100
"birmingham","AL","1600","Mon Aug 10 07:06:49 2020",1600,NA,1600
"birmingham","AL","1795","Mon Aug 10 07:06:49 2020",1795,NA,1795
"birmingham","AL","890","Mon Aug 10 07:06:49 2020",890,NA,890
"huntsville","AL","939","Mon Aug 10 07:06:53 2020",939,NA,939
"huntsville","AL","1359 - 1960","Mon Aug 10 07:06:53 2020",1359,1960,1659.5
"huntsville","AL","1125 - 1165","Mon Aug 10 07:06:53 2020",1125,1165,1145
"huntsville","AL","1655 - 1770","Mon Aug 10 07:06:53 2020",1655,1770,1712.5
"huntsville","AL","1159 - 1699","Mon Aug 10 07:06:53 2020",1159,1699,1429
"huntsville","AL","1000 - 1060","Mon Aug 10 07:06:53 2020",1000,1060,1030
"huntsville","AL","1129 - 1139","Mon Aug 10 07:06:53 2020",1129,1139,1134
"huntsville","AL","1140 - 1270","Mon Aug 10 07:06:53 2020",1140,1270,1205
"huntsville","AL","1535 - 2645","Mon Aug 10 07:06:53 2020",1535,2645,2090
"huntsville","AL","1135 - 1368","Mon Aug 10 07:06:53 2020",1135,1368,1251.5
"huntsville","AL","1009","Mon Aug 10 07:06:53 2020",1009,NA,1009
"huntsville","AL","1079 - 1249","Mon Aug 10 07:06:53 2020",1079,1249,1164
"huntsville","AL","1369 - 1489","Mon Aug 10 07:06:53 2020",1369,1489,1429
"huntsville","AL","1455 - 4000","Mon Aug 10 07:06:53 2020",1455,4000,2727.5
"huntsville","AL","1220 - 1370","Mon Aug 10 07:06:53 2020",1220,1370,1295
"huntsville","AL","999","Mon Aug 10 07:06:53 2020",999,NA,999
"huntsville","AL","925 - 975","Mon Aug 10 07:06:53 2020",925,975,950
"huntsville","AL","1450 - 1800","Mon Aug 10 07:06:53 2020",1450,1800,1625
"huntsville","AL","830 - 945","Mon Aug 10 07:06:53 2020",830,945,887.5
"huntsville","AL","1325 - 1605","Mon Aug 10 07:06:53 2020",1325,1605,1465
"huntsville","AL","899","Mon Aug 10 07:06:53 2020",899,NA,899
"huntsville","AL","1439 - 1645","Mon Aug 10 07:06:53 2020",1439,1645,1542
"huntsville","AL","725 - 740","Mon Aug 10 07:06:53 2020",725,740,732.5
"huntsville","AL","780 - 940","Mon Aug 10 07:06:53 2020",780,940,860
"huntsville","AL","998 - 1070","Mon Aug 10 07:06:53 2020",998,1070,1034
"huntsville","AL","1104 - 1332","Mon Aug 10 07:06:53 2020",1104,1332,1218
"huntsville","AL","1545 - 1675","Mon Aug 10 07:06:53 2020",1545,1675,1610
"huntsville","AL","885 - 945","Mon Aug 10 07:06:53 2020",885,945,915
"huntsville","AL","1285 - 1828","Mon Aug 10 07:06:53 2020",1285,1828,1556.5
"huntsville","AL","1128 - 2103","Mon Aug 10 07:06:53 2020",1128,2103,1615.5
"huntsville","AL","750 - 940","Mon Aug 10 07:06:53 2020",750,940,845
"huntsville","AL","1048 - 2028","Mon Aug 10 07:06:53 2020",1048,2028,1538
"huntsville","AL","825 - 925","Mon Aug 10 07:06:53 2020",825,925,875
"huntsville","AL","900 - 1150","Mon Aug 10 07:06:53 2020",900,1150,1025
"huntsville","AL","740","Mon Aug 10 07:06:53 2020",740,NA,740
"huntsville","AL","853 - 955","Mon Aug 10 07:06:53 2020",853,955,904
"huntsville","AL","760","Mon Aug 10 07:06:53 2020",760,NA,760
"huntsville","AL","725 - 815","Mon Aug 10 07:06:53 2020",725,815,770
"huntsville","AL","980","Mon Aug 10 07:06:53 2020",980,NA,980
"huntsville","AL","625 - 650","Mon Aug 10 07:06:53 2020",625,650,637.5
"huntsville","AL","982 - 1177","Mon Aug 10 07:06:53 2020",982,1177,1079.5
"huntsville","AL","920 - 2205","Mon Aug 10 07:06:53 2020",920,2205,1562.5
"huntsville","AL","874 - 1202","Mon Aug 10 07:06:53 2020",874,1202,1038
"huntsville","AL","1200","Mon Aug 10 07:06:53 2020",1200,NA,1200
"huntsville","AL","887","Mon Aug 10 07:06:53 2020",887,NA,887
"huntsville","AL","1225 - 1305","Mon Aug 10 07:06:53 2020",1225,1305,1265
"huntsville","AL","956 - 1504","Mon Aug 10 07:06:53 2020",956,1504,1230
"huntsville","AL","1040 - 1234","Mon Aug 10 07:06:53 2020",1040,1234,1137
"huntsville","AL","815","Mon Aug 10 07:06:53 2020",815,NA,815
"huntsville","AL","675","Mon Aug 10 07:06:53 2020",675,NA,675
"huntsville","AL","789 - 839","Mon Aug 10 07:06:53 2020",789,839,814
"huntsville","AL","1560 - 1950","Mon Aug 10 07:06:53 2020",1560,1950,1755
"huntsville","AL","695 - 895","Mon Aug 10 07:06:53 2020",695,895,795
"huntsville","AL","670","Mon Aug 10 07:06:53 2020",670,NA,670
"huntsville","AL","800 - 859","Mon Aug 10 07:06:53 2020",800,859,829.5
"huntsville","AL","650","Mon Aug 10 07:06:53 2020",650,NA,650
"huntsville","AL","1237 - 1457","Mon Aug 10 07:06:53 2020",1237,1457,1347
"huntsville","AL","1067 - 5000","Mon Aug 10 07:06:53 2020",1067,5000,3033.5
"huntsville","AL","1200 - 1605","Mon Aug 10 07:06:53 2020",1200,1605,1402.5
"huntsville","AL","1253 - 2443","Mon Aug 10 07:06:53 2020",1253,2443,1848
"huntsville","AL","900 - 1020","Mon Aug 10 07:06:53 2020",900,1020,960
"huntsville","AL","1007 - 1037","Mon Aug 10 07:06:53 2020",1007,1037,1022
"huntsville","AL","849 - 910","Mon Aug 10 07:06:53 2020",849,910,879.5
"huntsville","AL","850","Mon Aug 10 07:06:53 2020",850,NA,850
"huntsville","AL","1035 - 1848","Mon Aug 10 07:06:53 2020",1035,1848,1441.5
"huntsville","AL","815 - 860","Mon Aug 10 07:06:53 2020",815,860,837.5
"huntsville","AL","625","Mon Aug 10 07:06:53 2020",625,NA,625
"huntsville","AL","745","Mon Aug 10 07:06:53 2020",745,NA,745
"huntsville","AL","1595 - 2000","Mon Aug 10 07:06:53 2020",1595,2000,1797.5
"montgomery","AL","1465 - 1505","Mon Aug 10 07:06:57 2020",1465,1505,1485
"montgomery","AL","798 - 1161","Mon Aug 10 07:06:57 2020",798,1161,979.5
"montgomery","AL","1075 - 1755","Mon Aug 10 07:06:57 2020",1075,1755,1415
"montgomery","AL","965 - 1307","Mon Aug 10 07:06:57 2020",965,1307,1136
"montgomery","AL","700 - 715","Mon Aug 10 07:06:57 2020",700,715,707.5
"montgomery","AL","599 - 674","Mon Aug 10 07:06:57 2020",599,674,636.5
"montgomery","AL","820 - 910","Mon Aug 10 07:06:57 2020",820,910,865
"montgomery","AL","1047 - 1087","Mon Aug 10 07:06:57 2020",1047,1087,1067
"montgomery","AL","1300 - 1345","Mon Aug 10 07:06:57 2020",1300,1345,1322.5
"montgomery","AL","1275 - 1325","Mon Aug 10 07:06:57 2020",1275,1325,1300
"montgomery","AL","650","Mon Aug 10 07:06:57 2020",650,NA,650
"montgomery","AL","975 - 985","Mon Aug 10 07:06:57 2020",975,985,980
"montgomery","AL","715","Mon Aug 10 07:06:57 2020",715,NA,715
"montgomery","AL","945 - 1651","Mon Aug 10 07:06:57 2020",945,1651,1298
"montgomery","AL","932 - 1268","Mon Aug 10 07:06:57 2020",932,1268,1100
"montgomery","AL","1130 - 1175","Mon Aug 10 07:06:57 2020",1130,1175,1152.5
"montgomery","AL","865 - 1095","Mon Aug 10 07:06:57 2020",865,1095,980
"montgomery","AL","630","Mon Aug 10 07:06:57 2020",630,NA,630
"montgomery","AL","1232 - 1410","Mon Aug 10 07:06:57 2020",1232,1410,1321
"montgomery","AL","850","Mon Aug 10 07:06:57 2020",850,NA,850
"montgomery","AL","797 - 802","Mon Aug 10 07:06:57 2020",797,802,799.5
"montgomery","AL","859 - 903","Mon Aug 10 07:06:57 2020",859,903,881
"montgomery","AL","1032 - 1062","Mon Aug 10 07:06:57 2020",1032,1062,1047
"montgomery","AL","1285 - 1315","Mon Aug 10 07:06:57 2020",1285,1315,1300
"montgomery","AL","1102 - 1152","Mon Aug 10 07:06:57 2020",1102,1152,1127
"montgomery","AL","840 - 950","Mon Aug 10 07:06:57 2020",840,950,895
