"state","city","jobSearched","jobPosted_nDays_ago","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary"
"AK","anchorage","security","2020-07-01",10,19,44823,149921.5
"AK","anchorage","security","2020-07-05",10,19,50598,157663
"AK","anchorage","security","2020-07-06",10,19,39048,149921.5
"AK","anchorage","security","2020-07-07",10,19,39048,149921.5
"AK","anchorage","security","2020-07-08",10,19,46748,155082.5
"AK","anchorage","security","2020-07-11",10,19,42898,152502
"AK","anchorage","security","2020-07-14",10,18,NA,NA
"AK","anchorage","security","2020-07-15",10,19,44823,149921.5
"AK","anchorage","security","2020-07-16",10,18.5714285714286,NA,NA
"AK","anchorage","security","2020-07-17",10,19,44823,149921.5
"AK","anchorage","security","2020-07-18",10,18,NA,NA
"AK","anchorage","security","2020-07-20",10,16,NA,NA
"AK","anchorage","security","2020-07-21",10,19.4285714285714,NA,NA
"AK","anchorage","security","2020-07-22",10,19,50598,157663
"AK","anchorage","security","2020-07-24",10,19.8571428571429,NA,NA
"AK","anchorage","security","2020-07-25",10,19,50598,157663
"AK","anchorage","security","2020-07-30",10,19,39048,157663
"AK","anchorage","security","2020-07-31",10,19,39048,157663
"AK","anchorage","security","2020-08-01",10,21,NA,NA
"AK","anchorage","security","2020-08-06",10,21.6,NA,NA
"AK","anchorage","security","2020-08-07",10,18.3333333333333,NA,NA
"AK","anchorage","security","2020-08-08",10,18.3333333333333,NA,NA
"AK","anchorage","security","2020-08-11",10,23,NA,NA
"AK","anchorage","security","2020-08-12",10,23,NA,NA
"AK","anchorage","security","2020-08-13",10,23,NA,NA
"AK","anchorage","security","2020-08-14",10,23,NA,NA
"AK","anchorage","security","2020-08-15",10,23,NA,NA
"AK","badger","security","2020-06-23",15,15,71583,93056
"AK","badger","security","2020-06-26",15,15,71583,93056
"AK","badger","security","2020-07-01",15,15,71583,100979
"AK","badger","security","2020-07-03",15,15,71583,102299.5
"AK","badger","security","2020-07-09",15,15,71583,93056
"AK","badger","security","2020-07-10",15,15,71583,105380.666666667
"AK","badger","security","2020-07-14",15,15,71583,93056
"AK","badger","security","2020-07-16",15,15,71583,93056
"AK","badger","security","2020-07-21",15,16.75,64226.75,88116
"AK","badger","security","2020-07-22",15,18.5,NA,NA
"AK","badger","security","2020-07-23",15,16,NA,NA
"AK","badger","security","2020-07-24",15,18.5,NA,NA
"AK","badger","security","2020-07-29",15,20.25,NA,NA
"AK","badger","security","2020-07-31",15,15,71583,111543
"AK","badger","security","2020-08-04",15,22,NA,NA
"AK","badger","security","2020-08-06",15,22,NA,NA
"AK","badger","security","2020-08-07",15,22,NA,NA
"AK","badger","security","2020-08-08",15,22,42158,54809
"AK","badger","security","2020-08-12",15,22,NA,NA
"AK","badger","security","2020-08-13",15,22,NA,NA
"AK","badger","security","2020-08-14",15,22,NA,NA
"AK","college","security","2020-06-23",15,15,NA,NA
"AK","college","security","2020-06-26",15,15,NA,NA
"AK","college","security","2020-07-01",15,15,NA,NA
"AK","college","security","2020-07-03",15,15,NA,NA
"AK","college","security","2020-07-09",15,15,NA,NA
"AK","college","security","2020-07-14",15,15,NA,NA
"AK","college","security","2020-07-16",15,15,NA,NA
"AK","college","security","2020-07-21",15,16.75,NA,NA
"AK","college","security","2020-07-22",15,18.5,NA,NA
"AK","college","security","2020-07-23",15,15,85799,111543
