"state","city","datePosted","security_jobsPosted"
"AK","anchorage",2020-07-01,2
"AK","anchorage",2020-07-05,1
"AK","anchorage",2020-07-06,2
"AK","anchorage",2020-07-07,6
"AK","anchorage",2020-07-08,6
"AK","anchorage",2020-07-11,6
"AK","anchorage",2020-07-14,3
"AK","anchorage",2020-07-15,2
"AK","anchorage",2020-07-16,7
"AK","anchorage",2020-07-17,2
"AK","anchorage",2020-07-18,3
"AK","anchorage",2020-07-20,1
"AK","anchorage",2020-07-21,14
"AK","anchorage",2020-07-22,1
"AK","anchorage",2020-07-24,7
"AK","anchorage",2020-07-25,5
"AK","anchorage",2020-07-30,1
"AK","anchorage",2020-07-31,3
"AK","anchorage",2020-08-01,4
"AK","anchorage",2020-08-06,5
"AK","anchorage",2020-08-07,3
"AK","anchorage",2020-08-08,3
"AK","anchorage",2020-08-11,2
"AK","anchorage",2020-08-12,1
"AK","anchorage",2020-08-13,1
"AK","anchorage",2020-08-14,1
"AK","anchorage",2020-08-15,2
"AK","badger",2020-06-23,2
"AK","badger",2020-06-26,1
"AK","badger",2020-07-01,7
"AK","badger",2020-07-03,2
"AK","badger",2020-07-09,1
"AK","badger",2020-07-10,3
"AK","badger",2020-07-14,1
"AK","badger",2020-07-16,1
"AK","badger",2020-07-21,4
"AK","badger",2020-07-22,2
"AK","badger",2020-07-23,7
"AK","badger",2020-07-24,4
"AK","badger",2020-07-29,4
"AK","badger",2020-07-31,2
"AK","badger",2020-08-04,2
"AK","badger",2020-08-06,1
"AK","badger",2020-08-07,2
"AK","badger",2020-08-08,1
"AK","badger",2020-08-12,1
"AK","badger",2020-08-13,2
"AK","badger",2020-08-14,1
"AK","college",2020-06-23,2
"AK","college",2020-06-26,1
"AK","college",2020-07-01,7
"AK","college",2020-07-03,2
"AK","college",2020-07-09,1
"AK","college",2020-07-14,1
"AK","college",2020-07-16,1
"AK","college",2020-07-21,4
"AK","college",2020-07-22,2
"AK","college",2020-07-23,6
"AK","college",2020-07-24,4
"AK","college",2020-07-29,4
"AK","college",2020-07-31,1
"AK","college",2020-08-04,2
"AK","college",2020-08-06,1
"AK","college",2020-08-07,2
"AK","college",2020-08-08,1
"AK","college",2020-08-12,1
"AK","college",2020-08-13,2
"AK","college",2020-08-14,1
"AK","fairbanks",2020-06-23,2
"AK","fairbanks",2020-06-26,1
"AK","fairbanks",2020-07-01,7
"AK","fairbanks",2020-07-03,2
"AK","fairbanks",2020-07-09,1
"AK","fairbanks",2020-07-10,1
"AK","fairbanks",2020-07-14,1
"AK","fairbanks",2020-07-16,1
"AK","fairbanks",2020-07-21,4
"AK","fairbanks",2020-07-22,2
"AK","fairbanks",2020-07-23,7
"AK","fairbanks",2020-07-24,4
"AK","fairbanks",2020-07-29,4
"AK","fairbanks",2020-07-31,2
"AK","fairbanks",2020-08-04,2
"AK","fairbanks",2020-08-06,1
"AK","fairbanks",2020-08-07,2
"AK","fairbanks",2020-08-08,1
"AK","fairbanks",2020-08-12,1
"AK","fairbanks",2020-08-13,2
"AK","fairbanks",2020-08-14,1
"AK","juneau",2020-07-16,4
"AK","juneau",2020-07-22,5
"AK","juneau",2020-07-27,2
"AK","juneau",2020-07-31,1
"AK","juneau",2020-08-03,3
"AK","juneau",2020-08-06,1
"AK","juneau",2020-08-13,1
"AK","knik-fairview",2020-06-23,1
"AK","knik-fairview",2020-07-01,5
"AK","knik-fairview",2020-07-05,1
"AK","knik-fairview",2020-07-06,2
"AK","knik-fairview",2020-07-07,5
"AK","knik-fairview",2020-07-08,2
"AK","knik-fairview",2020-07-11,5
"AK","knik-fairview",2020-07-14,1
"AK","knik-fairview",2020-07-15,2
"AK","knik-fairview",2020-07-16,7
"AK","knik-fairview",2020-07-17,1
"AK","knik-fairview",2020-07-18,2
"AK","knik-fairview",2020-07-20,3
"AK","knik-fairview",2020-07-21,10
"AK","knik-fairview",2020-07-22,1
"AK","knik-fairview",2020-07-24,8
"AK","knik-fairview",2020-07-25,5
"AK","knik-fairview",2020-07-30,1
"AK","knik-fairview",2020-08-01,3
"AK","knik-fairview",2020-08-06,2
"AK","knik-fairview",2020-08-07,3
"AK","knik-fairview",2020-08-08,1
"AK","knik-fairview",2020-08-11,1
"AK","knik-fairview",2020-08-12,3
"AK","knik-fairview",2020-08-13,1
"AK","knik-fairview",2020-08-14,1
"AK","knik-fairview",2020-08-15,2
"AK","lakes",2020-06-23,1
"AK","lakes",2020-07-01,6
"AK","lakes",2020-07-11,3
"AK","lakes",2020-07-20,4
"AK","lakes",2020-07-31,2
"AK","lakes",2020-08-06,1
"AK","lakes",2020-08-11,1
"AK","lakes",2020-08-12,1
"AK","sitka",2020-07-31,4
"AK","tanaina",2020-06-23,1
"AK","tanaina",2020-07-01,6
"AK","tanaina",2020-07-11,3
"AK","tanaina",2020-07-20,4
"AK","tanaina",2020-07-31,1
"AK","tanaina",2020-08-06,1
"AK","tanaina",2020-08-11,1
"AK","tanaina",2020-08-12,1
"AK","wasilla",2020-06-23,1
"AK","wasilla",2020-07-01,6
"AK","wasilla",2020-07-11,3
"AK","wasilla",2020-07-18,2
"AK","wasilla",2020-07-20,4
"AK","wasilla",2020-07-31,1
"AK","wasilla",2020-08-06,1
"AK","wasilla",2020-08-11,1
"AK","wasilla",2020-08-12,1
"AL","auburn",2020-06-23,1
"AL","auburn",2020-06-26,1
"AL","auburn",2020-06-28,2
"AL","auburn",2020-07-01,2
"AL","auburn",2020-07-08,3
"AL","auburn",2020-07-10,3
"AL","auburn",2020-07-11,1
"AL","auburn",2020-07-14,1
"AL","auburn",2020-07-16,2
"AL","auburn",2020-07-17,1
"AL","auburn",2020-07-18,1
"AL","auburn",2020-07-21,1
"AL","auburn",2020-07-22,4
"AL","auburn",2020-07-23,1
"AL","auburn",2020-07-24,6
"AL","auburn",2020-07-25,1
"AL","auburn",2020-07-26,4
"AL","auburn",2020-07-28,6
"AL","auburn",2020-07-30,2
"AL","auburn",2020-07-31,6
"AL","auburn",2020-08-05,2
"AL","auburn",2020-08-06,3
"AL","auburn",2020-08-07,2
