stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,server_jobsListed,server_avgHourly,server_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,teacher_jobsListed,teacher_avgHourly,teacher_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
AL,Alabama,NA,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",yes,NA,yes,45,yes,25,100,NA,NA,NA,NA,NA,NA,yes,yes,110,25.33333333,39517.66667,104537.0984,49861,4887871,26.7,67.7,2.1,0.5,1.3,0,4.3,677,10.5116322,21864.19498,719,13.99099444,29101.26843,295,28.75,59800,250,13.42554348,27925.13043,734,14.08248638,29291.57166,613,13.78507341,28672.95269,150,12.92857143,26891.42857,750,15.97883333,33235.97333,536,19.27742802,40097.05029,680,23.62276013,49135.34107,350,38.74143804,80582.19113,795,26.61616352,77142.93145,408,10.0307377,37188.44853,116,25.11538462,52240,667,40.72206573,84701.89671,218,33.91227273,70537.52727,81,27.61111111,57431.11111,731,25.29822161,227862.6368,83,48.5,100880,95,62.5,130000,1093,266,1081,776,1035,848,959,1519,357,426,1022.141827,1417.038961,1158.649038
AK,Alaska,NA,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",yes,NA,yes,yes,yes,200,290,NA,NA,12 weeks,NA,17,NA,NA,yes,85,51.25,97500,244501.6667,74346,737438,3.4,64.4,8.4,15.1,6.3,1.1,7.2,307,11.85445205,24657.26027,110,10.98764706,22854.30588,120,NA,NA,25,11.6,24128,628,17.1453742,35662.37834,447,14.66219239,30497.36018,95,12.84210526,26711.57895,700,21.37212857,44454.02743,479,21.1622875,44017.558,652,29.03637587,60395.66181,113,42.14665242,87665.03704,782,54.31539003,93287.16525,235,19.60681818,71789.76744,106,NA,NA,276,NA,NA,125,22.5,46800,72,30.58638889,63619.68889,672,44.6141369,225220.3929,24,NA,NA,NA,NA,NA,948,231,1083,466,568,1049,616,1240,281,66,1382.59322,1941.5,1520.576271
AZ,Arizona,"2. License by reciprocity based on out-of-state license (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on having been licensed in another state or United States territory for at least two of the last five years immediately preceding the application.

3. License by reciprocity based on NCBTMB certification (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on holding a current certification from the National Certification Board for Therapeutic Massage and Bodywork and has graduated from a massage school with a minimum of 500 hours.

4. License by universal acceptance (A.R.S. ? 32-4302(link is external))
The applicant is seeking licensure based on holding a license in another state or United States territory for one year and is active at the time of application, and the applicant has established residency in the State of Arizona.",yes,yes,yes,NA,NA,NA,700;,yes,NA,22,yes,no,195,0,NA,NA,NA,NA,24,2,NA,yes,751,43.85419441,74146.16498,240336.2891,59246,7171646,4.7,78,4,4.6,3.3,0.2,31.6,748,12.61631016,26241.92513,750,16.322,33949.76,652,29.85276074,62093.74233,677,17.37813885,36146.5288,779,16.80535944,34955.14763,660,15.1094697,31427.69697,577,17.19844021,35772.75563,788,25.525,53092,714,29.90196078,62196.07843,822,21.44051417,44596.26946,702,41.64651066,86624.74217,839,43.7693683,96804.46961,647,18.07089645,63164.13756,656,23.54290172,48969.23557,805,34.84340994,72474.29267,737,27.56784261,57341.11262,641,25.82527301,53716.56786,780,23.96217949,101423.0346,602,58.9011925,122514.4804,569,56.86347518,118276.0284,1574,1399,1523,1500,1505,1507,1531,1536,1336,784,1306.959948,1931.323572,1573.540698
AR,Arkansas,NA,yes,NA,NA,yes,NA,yes,"500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following:

Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.","yes, and state exam",NA,yes,25,yes,75,80,NA,NA,NA,NA,18,2; https://www.integrativehealthcare.org/Arkansas-Massage-CEU/  Massage therapy continuing education requirements for license renewal vary from state to state and the laws are constantly changing. It is our current understanding that Arkansas requires massage therapists to complete 18 CE hours every 2 years for license renewal.,NA,NA,195,NA,42285.14286,114929.7647,47062,3013825,15.2,76.5,2.9,0.7,1.6,0.3,7.6,594,10.70454545,22265.45455,663,13.48821174,28055.48043,275,22.19230769,46160,135,13.70769231,28512,693,14.12170996,29373.15671,555,11.85788288,24664.3964,288,13.20671378,27469.96466,736,14.27428668,29690.5163,367,12.68807339,26391.19266,710,24.35722014,50663.01788,231,33.74080711,70180.87879,812,30.82,94155.87886,341,13.15365854,58256.42749,100,13,27040,579,50.52475248,105091.4851,165,15,31200,167,29.77107784,61923.84192,710,106.7989437,175449.6754,98,47.03125,97825,45,62.5,130000,1086,287,1040,629,884,749,788,1445,336,251,941.7520661,1349.354651,1073.659091
CA,California,NA,NA,NA,yes,yes,NA,NA,"500;, at least 100 anatomy & physiology",no,NA,no,yes,yes,200,0,NA,NA,8 weeks,no,no,2,no,yes,647,40.49571651,78109.1855,669171.5933,75277,39557045,5.8,59.5,5.1,0.8,14.7,0.4,39.3,735,14.87778231,30945.78721,724,19.44595994,40447.59669,598,39.39381271,81939.13043,581,18.69298623,38881.41136,797,20.62441656,42898.78645,656,21.9726753,45703.16463,553,28.51175407,59304.44846,795,24.96486792,51926.92528,715,40.34867133,83925.23636,779,29.48567474,61330.20347,616,75.32077751,156667.2172,828,58.60589976,109663.2114,660,26.05339009,81616.4644,540,31.78571429,66114.28571,755,57.53170861,119665.9539,604,49.64770798,103267.2326,275,27.51759259,57236.59259,774,66.09343669,144539.3301,484,57.81573276,120256.7241,508,57.81078224,120246.4271,1560,1221,1518,1441,1502,1500,1534,1516,1120,750,2845.531081,4242.751987,3420.427703
CO,Colorado,yes by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,NA,200,NA,NA,12 weeks,NA,24,"2, expires the last day Dec. 31 within 2 years of issue",yes,yes,708,38.62980085,43002.34375,327365.4286,71953,5695564,4.2,84.1,4,1,3.2,0.1,21.7,717,14.46983961,30097.26639,748,20.81490455,43295.00147,576,30.1497373,62711.45359,679,17.96612666,37369.54345,797,17.16113551,35695.16186,640,27.63019531,57470.80625,521,18.06909789,37583.72361,800,20.053875,41712.06,697,23.37166428,48613.06169,794,26.77858458,55699.45592,604,39.6922261,82559.8303,814,43.94831081,80810.39496,630,17.82407937,97059.36508,607,42.66582915,88744.92462,768,60.88802083,126647.0833,572,35.16137566,73135.66138,529,26.44565217,55006.95652,751,31.34404128,108047.2071,534,64.69357977,134562.6459,513,66.53845029,138399.9766,1495,1184,1459,1368,1399,1379,1396,1541,1158,573,1702.542553,2695.660952,2154.953014
CT,Connecticut,"Yes by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least 1 year",yes,NA,NA,NA,NA,NA,"750;, in class instruction only and 60 hours unpaid and supervised internship",yes,NA,yes,yes,yes,379.75,NA,255,NA,NA,NA,"24 per 4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue",yes,yes,737,37.14721845,51306.28508,212252.4048,76348,3572665,11,75.2,3.4,0.3,4.6,0,16.5,701,12.79636234,26616.43367,711,17.35189873,36091.94937,649,37.18104777,77336.57935,561,16.19385027,33683.20856,798,18.78132832,39065.16291,640,16.30921875,33923.175,446,25.31950673,52664.57399,781,21.07763124,43841.47298,711,38.07594937,79197.97468,794,33.16796224,68989.36146,718,38.42096937,79915.6163,803,51.76276463,93541.25156,700,21.45928571,72387.15714,355,53.26923077,110800,775,45.55100575,94746.09195,635,27.31102362,56806.92913,122,29.90163934,62195.40984,772,49.78238342,135894.5572,376,44.59707447,92761.91489,284,59.89130435,124573.913,1537,1003,1511,1503,1501,1501,1520,1516,930,169,2092.975155,3064.42623,2410.745342
DE,Delaware,NA,yes,NA,NA,NA,NA,yes,"500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",yes,NA,yes,yes,yes,NA,159,NA,1,NA,NA,"24; 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online",1-2 years; On 8/31 of even years,NA,yes,530,27,48523.80952,215976.0588,64805,967171,22.5,68.2,2.7,0.5,4,0.1,9.5,684,11.7816155,24505.76023,709,12.39933004,25790.60649,478,24.90396341,51800.2439,699,16.6183834,34566.23748,763,15.40842071,32049.51507,630,13.7202381,28538.09524,398,17.34296482,36073.36683,757,23.65356671,49199.41876,685,22.51820438,46837.86511,802,28.49842161,59276.71696,518,34.73975349,72258.68726,812,33.67302956,140125.1232,511,13.56911447,81009.05186,311,37.23472669,77448.23151,723,52.0280541,108218.3525,476,28.80829016,59921.24352,106,31.5,65520,750,30.89686667,186740.3907,186,59.54678363,123857.3099,135,61.77083333,128483.3333,1187,478,1231,1058,1164,1050,1130,1466,596,324,1860.73817,3155.913793,2440.299685
FL,Florida,NA,yes,NA,NA,NA,NA,NA,500; + 10 hours of Florida Law in class,yes,yes,yes,yes,yes,50,105,105,NA,NA,NA,"2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice",1-2 years; On 8/31 of odd years,NA,yes,649,37.87288136,57879.11132,215245.2342,55462,21299325,16,74.6,2.9,0.3,2.8,0.1,26.1,713,11.27033661,23442.30014,750,17.404,36200.32,588,30.38818027,63207.41497,608,15.78207237,32826.71053,740,14.97246622,31142.72973,629,15.27829889,31778.86169,491,20.48065173,42599.7556,768,18.75921224,39019.16146,722,25.71538089,53487.99224,820,23.69203447,49279.43171,468,37.08240878,77131.41026,820,38.62621951,70882.47256,558,17.08646953,63021.28226,540,21.01666667,43714.66667,714,58.60364146,121895.5742,622,52.33842444,108863.9228,360,27.26041667,56701.66667,772,49.3503886,144164.2073,431,60.85549133,126579.422,341,58.23648649,121131.8919,1533,1049,1516,1389,1465,1482,1480,1514,892,773,1586.498691,2192.445802,1835.624346
GA,Georgia,NA,yes,NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,354,40.98837209,40157.23009,192060.4898,58756,10519475,31.6,58.3,2.7,0.3,4.1,0.1,9.7,631,15.00435816,31209.06498,660,13.27919408,27620.72368,418,34.83333333,72453.33333,460,16.68736264,34709.71429,685,15.01145985,31223.8365,557,11.42011834,23753.84615,375,16.28666667,33876.26667,668,18.53031437,38543.05389,528,19.85203598,41292.23485,662,25.43320184,52901.05983,374,52.80748663,109839.5722,729,38.83950617,86414.60837,397,15.76263298,74680.2584,337,35.20926518,73235.27157,613,40.21784777,83653.12336,376,62.50561798,130011.6854,289,25.13105536,52272.59516,680,22.39890441,178224.7088,308,52.55981132,109324.4075,305,56,116480,1183,891,1268,1084,1194,1129,1165,1399,796,602,1431.451178,2302.219331,1817.300505
