stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
AL,Alabama,No,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",yes,NA,yes,45,yes,25,100,NA,NA,NA,NA,NA,NA,yes,yes,yes,123,33.47580645,44814.48718,104537.0984,49861,4887871,26.7,67.7,2.1,0.5,1.3,0,4.3,664,10.77955572,22421.4759,751,42.56125166,88527.40346,290,26.18518519,54465.18519,290,12.61363636,26236.36364,755,13.83303311,28772.70887,732,11.97250683,24902.81421,255,14.42857143,30011.42857,724,14.36705801,29883.48066,582,18.94065292,39396.55808,408,11.85235219,24652.89256,466,63.88379181,132878.287,816,30.14552696,72081.57426,408,11.75780423,24652.89256,122,25.5,53040,692,42.5,88400,205,17.14611111,35663.91111,468,17.01128668,35383.4763,717,65.69539749,180253.6911,25,NA,NA,70,NA,NA,1093,266,1081,776,1035,848,959,1519,357,428,1033.478469,1429.053459,1171.429426
AK,Alaska,No,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",yes,NA,yes,yes,yes,200,290,NA,NA,12 weeks,NA,17,NA,NA,yes,yes,134,45.27310924,97500,244501.6667,74346,737438,3.4,64.4,8.4,15.1,6.3,1.1,7.2,375,13.38032877,27831.08384,750,45.84133333,95349.97333,100,NA,NA,45,12,24960,650,17.31824615,36021.952,504,16.19477912,33685.14056,185,14.51351351,30188.10811,641,18.44343214,38362.33885,646,18.76354489,39028.17337,225,22.32548077,46437,227,64.90384615,135000,775,51.00924516,95338.03613,225,20.35227273,46437,125,15,31200,308,62.5,130000,80,21,43680,620,23.71216129,49321.29548,609,80.90852217,209755.9211,25,NA,NA,NA,NA,NA,948,231,1083,466,568,1049,616,1240,281,65,1503.813559,1633.875,1533.516949
AZ,Arizona,"Yes; 2. License by reciprocity based on out-of-state license (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on having been licensed in another state or United States territory for at least two of the last five years immediately preceding the application.
3. License by reciprocity based on NCBTMB certification (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on holding a current certification from the National Certification Board for Therapeutic Massage and Bodywork and has graduated from a massage school with a minimum of 500 hours.
4. License by universal acceptance (A.R.S. ? 32-4302(link is external))
The applicant is seeking licensure based on holding a license in another state or United States territory for one year and is active at the time of application, and the applicant has established residency in the State of Arizona.",yes,yes,yes,NA,NA,NA,700;,yes,NA,22,yes,no,195,0,NA,NA,NA,NA,24/2 years,2,NA,yes,yes,732,37.33333333,75990.26639,240336.2891,59246,7171646,4.7,78,4,4.6,3.3,0.2,31.6,762,13.50590551,28092.28346,735,37.65646259,78325.44218,635,21.35748031,44423.55906,722,17.73684211,36892.63158,786,19.67124682,40916.19338,824,16.29435073,33892.24951,715,17.74825175,36916.36364,751,17.70905459,36834.83356,737,28.28206242,58826.68982,696,31.16024639,64813.3125,670,52.25979478,108700.3731,840,65.40446429,113914.4685,696,18.3591954,64813.3125,675,25.10447761,52217.31343,797,41.00952949,85299.82133,676,32.17455621,66923.07692,674,16.30192878,33908.01187,777,24.89317889,95656.03797,521,42.06333973,87491.74664,545,13.7293578,28557.06422,1574,1399,1523,1500,1505,1507,1531,1536,1336,784,1316.177003,1977.112426,1595.760982
AR,Arkansas,No,yes,NA,NA,yes,NA,yes,"500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.","yes, and state exam",NA,yes,25,yes,75,80,NA,NA,NA,NA,18/2,2; 18 CE hours every 2 years for license renewal.,NA,NA,"yes, and state exam",231,21.22123894,42278,114929.7647,47062,3013825,15.2,76.5,2.9,0.7,1.6,0.3,7.6,644,11.29297557,23489.38918,754,37.49270557,77984.82759,215,26,54080,195,13.60810811,28304.86486,738,14.41954607,29992.65583,636,13.11070724,27270.27105,328,13.70426829,28504.87805,734,13.47752044,28033.24251,598,17.38043478,36151.30435,282,20.61392582,42876.9657,428,61.63588057,128202.6316,811,32.68033292,75598.5805,282,14,42876.9657,110,30,62400,610,49.84541985,103678.4733,222,13.60655738,28301.63934,303,15.66920152,32591.93916,681,98.6989721,201045.149,70,12.5,26000,15,NA,NA,1086,287,1040,629,884,749,788,1445,336,253,936.7704918,1338.38764,1071.282787
CA,California,No,NA,NA,yes,yes,NA,NA,500; at least 100 anatomy & physiology,no,NA,no,yes,yes,200,0,NA,NA,8 weeks,no,no,2,no,yes,no,633,38.09693053,75806.28484,669171.5933,75277,39557045,5.8,59.5,5.1,0.8,14.7,0.4,39.3,757,14.95607662,31108.63937,751,44.3195739,92184.71372,590,43.80338983,91111.05085,622,18.71028939,38917.40193,790,22.12448101,46018.92051,783,23.44796296,48771.76296,619,25.87399031,53817.89984,760,21.42863816,44571.56737,740,37.14735811,77266.50486,662,40.90538731,85083.20561,624,77.92512427,162084.2585,809,54.14437577,99045.2021,662,23.10015106,85083.20561,566,32.25878004,67098.26248,768,73.66402878,153221.1799,573,60.51344086,125867.957,205,17.38888889,36168.88889,773,60.1080207,151661.9754,526,30.73800384,63935.04798,536,35.90818363,74689.02196,1560,1221,1518,1441,1502,1500,1534,1516,1120,753,2800.094213,4221.743307,3384.555182
CO,Colorado,Yes; by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,NA,200,NA,NA,12 weeks,NA,24,"2, expires the last day Dec. 31 within 2 years of issue",yes,yes,yes,708,38.09286723,65703.52564,327365.4286,71953,5695564,4.2,84.1,4,1,3.2,0.1,21.7,725,14.45048276,30057.00414,743,42.34993271,88087.86003,604,30.85809683,64184.8414,617,22.89614263,47623.97666,854,17.65490047,36722.19297,780,21.13910256,43969.33333,674,18.3115727,38088.07122,734,20.12356948,41857.02452,701,30.85306705,64174.37946,636,25.62524416,53300.50786,668,51.02033193,106122.2904,843,35.992586,75881.14709,636,18.47940594,53300.50786,544,29.83553875,62057.9206,776,55.7757732,116013.6082,588,43.17838765,89811.04631,660,17.99771212,37435.24121,777,37.92370656,145403.722,517,60.20328542,125222.8337,428,65.75553435,136771.5115,1495,1184,1459,1368,1399,1379,1396,1541,1158,575,1721.984071,2736.898855,2183.486726
CT,Connecticut,"Yes; by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least 1 year",yes,NA,NA,NA,NA,NA,750; in class instruction only and 60 hours unpaid and supervised internship,yes,NA,yes,yes,yes,379.75,NA,255,NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue",yes,yes,yes,739,40.17523681,50955.95399,212252.4048,76348,3572665,11,75.2,3.4,0.3,4.6,0,16.5,689,12.74147315,26502.26415,752,44.40425532,92360.85106,650,30.24230769,62904,645,17.16143411,35695.78295,788,27.04600254,56255.68528,1142,21.54574431,44815.14816,668,22.45883234,46714.37126,754,19.27066313,40082.97931,720,46.29583333,96295.33333,623,27.28523815,56753.29535,694,61.39366155,127698.816,815,39.17208589,97395.41166,623,17.78792135,56753.29535,263,24.32511211,50596.23318,776,43.61984536,90729.27835,661,20.82223903,43310.25719,70,NA,NA,783,29.77011494,192274.6603,432,30.55902778,63562.77778,260,36.14423077,75180,1537,1003,1511,1503,1501,1501,1520,1516,930,168,2133.225,3099.876033,2452.6875
DE,Delaware,No,yes,NA,NA,NA,NA,yes,"500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",yes,NA,yes,yes,yes,NA,159,NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online",1-2 years; On 8/31 of even years,NA,yes,yes,657,32.77983871,50000,215976.0588,64805,967171,22.5,68.2,2.7,0.5,4,0.1,9.5,670,11.20447761,23305.31343,760,49.35394737,102656.2105,494,23.81329114,49531.64557,713,13.71178121,28520.50491,802,15.73503741,32728.87781,749,17.62750334,36665.20694,527,18.28652751,38035.97723,738,16.04930894,33382.5626,684,24.04883772,50021.58246,510,25.61403557,53277.19398,592,62.3581276,129704.9054,801,34.85081149,147398.216,510,16.7635,53277.19398,319,42.65695793,88726.47249,718,38.87707373,80864.31336,438,26.375,54860,165,18.125,37700,785,42.06433121,82366.14013,115,19,39520,110,NA,NA,1187,478,1231,1058,1164,1050,1130,1466,596,334,1866.110092,2874.259386,2313.077982
FL,Florida,No,yes,NA,NA,NA,NA,NA,500; + 10 hours of Florida Law in class,yes,yes,yes,yes,yes,50,105,105,NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice",1-2 years; On 8/31 of odd years,NA,yes,yes,684,58.40497076,53584.21429,215245.2342,55462,21299325,16,74.6,2.9,0.3,2.8,0.1,26.1,712,11.66363764,24260.36629,766,46.87793734,97506.10966,596,33.92098993,70555.65906,553,15.38426763,31999.27667,752,15.29803856,31819.92021,743,14.60497981,30378.35801,509,16.61345776,34555.99214,748,16.69904412,34734.01176,725,25.49931724,53038.57986,597,23.65238095,49196.95238,529,63.34841629,131764.7059,819,42.16529915,80954.03541,597,16.13171577,49196.95238,589,18.05555556,37555.55556,713,62.94876325,130933.4276,593,35.16629663,73145.89698,360,17.93809524,37311.2381,777,68.56081081,148080.7921,407,38.23024523,79518.91008,363,28.02684564,58295.83893,1533,1049,1516,1389,1465,1482,1480,1514,892,788,1577.307198,2200.039634,1824.755141
GA,Georgia,No,yes,NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,380,45.82666667,49541.66667,192060.4898,58756,10519475,31.6,58.3,2.7,0.3,4.1,0.1,9.7,597,10.99623116,22872.1608,747,42.53413655,88471.00402,411,30.59610706,63639.90268,536,17.38983051,36170.84746,720,16.84913194,35046.19444,657,14.70517504,30586.76408,439,21.12813212,43946.51481,649,16.11304314,33515.12974,632,35.06625791,72937.81646,398,30.64526735,63742.15608,438,57.42419758,119442.331,727,46.11925722,68179.4663,398,16.59262087,63742.15608,357,15.5,32240,632,59.13624339,123003.3862,346,39.23511905,81609.04762,508,17.56762295,36540.65574,665,45.58831579,211404.5714,291,23.35765125,48583.91459,276,12,24960,1183,891,1268,1084,1194,1129,1165,1399,796,603,1553.589226,2586.09854,2017.37037
