stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
AL,Alabama,No,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",yes,NA,yes,45,yes,25,100,NA,NA,NA,NA,NA,NA,yes,yes,yes,160,17,29896.64286,104537.0984,49861,4887871,26.7,67.7,2.1,0.5,1.3,0,4.3,706,10.2822238,21387.0255,712,92.92134831,193276.4045,280,25.93990385,53955,265,12.63,26270.4,769,14.76501951,30711.24057,737,12.23066486,25439.7829,5,18.5,38480,710,14.61111268,30391.11437,592,30.34261824,63112.64595,376,14.09629974,29320.30347,380,59.84134615,124470,376,11.97785924,29320.30347,180,34.8,72384,687,50.94516129,105965.9355,180,12.93,26894.4,478,14.52865721,30219.60699,741,50.32388664,241612.4676,74,NA,NA,1093,266,1081,776,1035,848,959,1519,357,418,1031.573529,1424.42671,1168.365196
AK,Alaska,No,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",yes,NA,yes,yes,yes,200,290,NA,NA,12 weeks,NA,17,NA,NA,yes,yes,120,45.35714286,97500,244501.6667,74346,737438,3.4,64.4,8.4,15.1,6.3,1.1,7.2,344,13.74114173,28581.5748,723,90.58091286,188408.2988,150,NA,NA,40,12,24960,657,18.89495434,39301.50502,507,15.11477046,31438.72255,25,13.5,28080,1161,17.4879199,36374.87339,561,30.26515152,62951.51515,213,26.79616136,55736.01563,128,54.24639423,112832.5,213,19.36046798,55736.01563,50,20,41600,323,NA,NA,55,21,43680,617,28.0547812,58353.94489,639,64.91079812,171783.4241,NA,NA,NA,948,231,1083,466,568,1049,616,1240,281,59,1406.754717,1530.083333,1438.660377
AZ,Arizona,"Yes; 2. License by reciprocity based on out-of-state license (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on having been licensed in another state or United States territory for at least two of the last five years immediately preceding the application.
3. License by reciprocity based on NCBTMB certification (A.R.S. ?? 32-4222(link is external) & 32-4223(link is external) and A.A.C. R4-15-203(link is external))
The applicant is seeking licensure based on holding a current certification from the National Certification Board for Therapeutic Massage and Bodywork and has graduated from a massage school with a minimum of 500 hours.
4. License by universal acceptance (A.R.S. ? 32-4302(link is external))
The applicant is seeking licensure based on holding a license in another state or United States territory for one year and is active at the time of application, and the applicant has established residency in the State of Arizona.",yes,yes,yes,NA,NA,NA,700;,yes,NA,22,yes,no,195,0,NA,NA,NA,NA,24/2 years,2,NA,yes,yes,744,37.52956989,71732.35887,240336.2891,59246,7171646,4.7,78,4,4.6,3.3,0.2,31.6,757,13.94121532,28997.72787,743,107.8936743,224418.8425,625,21.98,45718.4,677,18.02880355,37499.91137,788,18.02249365,37486.7868,786,18.67186387,38837.47684,604,18.69784768,38891.52318,822,19.33226277,40211.10657,741,30.5168691,63475.08772,668,30.93639344,64347.69835,659,44.03537809,91593.58643,668,18.34468563,64347.69835,659,57.66666667,119946.6667,807,53.12136307,110492.4352,708,33.74152542,70182.37288,681,16.36270191,34034.41997,762,21.11286089,99376.84514,580,56.5,117520,1574,1399,1523,1500,1505,1507,1531,1536,1336,781,1308.95201,1964.797357,1588.790532
AR,Arkansas,No,yes,NA,NA,yes,NA,yes,"500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.","yes, and state exam",NA,yes,25,yes,75,80,NA,NA,NA,NA,18/2,2; 18 CE hours every 2 years for license renewal.,NA,NA,"yes, and state exam",215,14.80769231,42500,114929.7647,47062,3013825,15.2,76.5,2.9,0.7,1.6,0.3,7.6,576,10.40530303,21643.0303,705,122.0212766,253804.2553,275,21.84615385,45440,186,13.56818182,28221.81818,742,15.03504043,31272.8841,675,11.50444359,23929.24266,110,14.90909091,31010.90909,743,13.65323015,28398.71871,596,28.68204698,59658.65772,285,19.38936682,40329.88298,326,44.7227228,93023.26342,285,13.95652174,40329.88298,200,NA,NA,603,46.89017341,97531.56069,193,14.78007519,30742.55639,298,14.71559633,30608.44037,706,50.29484419,160262.5984,14,NA,NA,1086,287,1040,629,884,749,788,1445,336,251,942.5371901,1343.287356,1075.603306
CA,California,No,NA,NA,yes,yes,NA,NA,500; at least 100 anatomy & physiology,no,NA,no,yes,yes,200,0,NA,NA,8 weeks,no,no,2,no,yes,no,621,34.05844156,79660.7123,669171.5933,75277,39557045,5.8,59.5,5.1,0.8,14.7,0.4,39.3,736,14.42798913,30010.21739,713,98.88499299,205680.7854,599,38.9148581,80942.90484,622,18.89983923,39311.66559,795,20.4042956,42440.93484,775,23.01412903,47869.38839,530,29.71886792,61815.24528,751,24.47426764,50906.4767,743,47.97442799,99786.81023,645,40.72085699,84699.38254,605,77.53534672,161273.5212,645,23.93449612,84699.38254,602,55.91089527,116294.6622,759,67.87517934,141180.373,589,40.05550699,83315.45455,185,16.64,34611.2,778,57.89381105,145232.4049,492,57.45878525,119514.2733,1560,1221,1518,1441,1502,1500,1534,1516,1120,752,2812.854447,4182.926217,3383.977089
CO,Colorado,Yes; by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,NA,200,NA,NA,12 weeks,NA,24,"2, expires the last day Dec. 31 within 2 years of issue",yes,yes,yes,726,39.85743802,42099.07121,327365.4286,71953,5695564,4.2,84.1,4,1,3.2,0.1,21.7,732,13.76571038,28632.6776,710,100.2112676,208439.4366,574,32.48945518,67578.06678,670,22.73731343,47293.61194,811,18.0671455,37579.66264,784,21.40499362,44522.38673,571,20.98336252,43645.39405,751,19.77945406,41141.26445,737,36.72930801,76396.96065,657,46.91496568,97583.12861,599,52.88461538,110000,657,18.71814873,97583.12861,577,49.61800699,103205.4545,756,49.42526455,102804.5503,617,41.83711507,87021.19935,610,17.60829508,36625.25377,758,36.06329815,92481.97098,465,66.125,137540,1495,1184,1459,1368,1399,1379,1396,1541,1158,580,1706.270175,2721.36,2164.959649
CT,Connecticut,"Yes; by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least 1 year",yes,NA,NA,NA,NA,NA,750; in class instruction only and 60 hours unpaid and supervised internship,yes,NA,yes,yes,yes,379.75,NA,255,NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue",yes,yes,yes,737,41.79511533,50999.47218,212252.4048,76348,3572665,11,75.2,3.4,0.3,4.6,0,16.5,692,12.2708815,25523.43353,692,115.4768786,240191.9075,644,31.70574534,65947.95031,643,17.52255054,36446.90513,779,18.69339538,38882.26239,749,21.25877837,44218.25901,292,29.58614232,61539.17603,748,20.20371658,42023.73048,737,47.31037992,98405.59023,681,28.51667796,59314.69016,675,45.30531904,94235.06361,681,22.45906755,59314.69016,232,25.35514019,52738.69159,786,46.3307888,96368.04071,630,28.32301587,58911.87302,70,NA,NA,773,25.15588616,82338.79172,326,30.86809816,64205.64417,1537,1003,1511,1503,1501,1501,1520,1516,930,171,2115.742331,3096.61157,2427.141104
DE,Delaware,No,yes,NA,NA,NA,NA,yes,"500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",yes,NA,yes,yes,yes,NA,159,NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online",1-2 years; On 8/31 of even years,NA,yes,yes,651,31.93548387,50000,215976.0588,64805,967171,22.5,68.2,2.7,0.5,4,0.1,9.5,683,10.75384334,22367.99414,748,115.0601604,239325.1337,496,21.31889764,44343.30709,672,13.11383929,27276.78571,787,16.47068615,34259.02719,750,16.435,34184.8,315,18.22539683,37908.8254,725,15.06367586,31332.44579,710,32.19535211,66966.33239,514,36.70562182,76347.69339,513,56.50636937,117533.2483,514,14.68402778,76347.69339,285,43.86363636,91236.36364,689,39.15974265,81452.26471,436,25.65096953,53354.01662,166,16.5,34320,759,32.96640316,207738.2213,92,62.5,130000,1187,478,1231,1058,1164,1050,1130,1466,596,328,1855.660436,3099.02381,2415.302181
FL,Florida,No,yes,NA,NA,NA,NA,NA,500; + 10 hours of Florida Law in class,yes,yes,yes,yes,yes,50,105,105,NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice",1-2 years; On 8/31 of odd years,NA,yes,yes,670,37.06940299,57631.12542,215245.2342,55462,21299325,16,74.6,2.9,0.3,2.8,0.1,26.1,701,11.39047789,23692.19401,722,105.7963989,220056.5097,600,34.20413333,71144.59733,578,16.01730104,33315.98616,748,16.3132754,33931.61283,743,15.48944818,32218.05222,356,17.67378917,36761.48148,759,17.46969697,36336.9697,739,38.03470907,79112.19486,609,25.61851988,53286.52135,492,49.55926715,103083.2757,609,16.89148581,53286.52135,609,37.54082492,78084.91582,728,58.5388601,121760.829,566,36.3667992,75642.94235,355,19.01969697,39560.9697,758,69.70580475,143584.7619,369,39.2191358,81575.80247,1533,1049,1516,1389,1465,1482,1480,1514,892,774,1575.282723,2220.138414,1832.179974
GA,Georgia,No,yes,NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,379,51.12912088,50595.93023,192060.4898,58756,10519475,31.6,58.3,2.7,0.3,4.1,0.1,9.7,619,10.45415994,21744.65267,729,83.72427984,174146.5021,414,30.44927536,63334.49275,469,15.37877155,31987.84483,690,15.12855072,31467.38551,657,14.39630898,29944.32268,322,17.35093168,36089.93789,674,16.66172107,34656.37982,591,30.91053299,64293.90863,439,34.26229307,71265.56958,363,46.63461538,97000,439,16.08814858,71265.56958,360,57,118560,609,48.82263514,101551.0811,358,29.86925287,62128.04598,471,16.56798246,34461.40351,675,25.07914815,247095.7585,286,56,116480,1183,891,1268,1084,1194,1129,1165,1399,796,603,1503.769748,2474.739372,1931.883193
