"state","TwoBedroomApartment_Listings"
"AK",65
"AL",428
"AR",253
"AZ",784
"CA",753
"CO",575
"CT",168
"DE",334
"FL",788
"GA",603
"HI",70
"IA",204
"ID",87
"IL",262
"IN",315
"KS",468
"KY",256
"LA",395
"MA",241
"MD",375
"ME",23
"MI",256
"MN",239
"MO",353
"MS",162
"MT",31
"NC",765
"ND",177
"NE",197
"NH",50
"NJ",216
"NM",269
"NV",671
"NY",253
"OH",404
"OK",365
"OR",332
"PA",265
"RI",176
"SC",515
"SD",74
"TN",461
"TX",1042
"UT",234
"VA",573
"VT",26
"WA",532
"WI",285
"WV",32
"WY",27
NA,1
