"state","chiropractor_businessListings"
"AK",948
"AL",1093
"AR",1086
"AZ",1574
"CA",1560
"CO",1495
"CT",1537
"DE",1187
"FL",1533
"GA",1183
"HI",1369
"IA",1352
"ID",1132
"IL",1458
"IN",1257
"KS",1248
"KY",1075
"LA",1149
"MA",1542
"MD",1462
"ME",986
"MI",1601
"MN",1542
"MO",1417
"MS",835
"MT",662
"NC",1449
"ND",832
"NE",714
"NH",1043
"NJ",1560
"NM",767
"NV",1468
"NY",1524
"OH",1559
"OK",1195
"OR",1433
"PA",1537
"RI",1381
"SC",1341
"SD",443
"TN",1294
"TX",1326
"UT",1511
"VA",1338
"VT",714
"WA",1560
"WI",1417
"WV",522
"WY",260
