"state","coffee_businessListings"
"AK",1049
"AL",848
"AR",749
"AZ",1507
"CA",1500
"CO",1379
"CT",1501
"DE",1050
"FL",1482
"GA",1129
"HI",1420
"IA",980
"ID",980
"IL",1266
"IN",1192
"KS",1044
"KY",915
"LA",950
"MA",1500
"MD",1439
"ME",1009
"MI",1458
"MN",1343
"MO",1271
"MS",780
"MT",569
"NC",1394
"ND",369
"NE",510
"NH",1116
"NJ",1504
"NM",697
"NV",1426
"NY",1501
"OH",1476
"OK",1076
"OR",1412
"PA",1410
"RI",1491
"SC",1254
"SD",246
"TN",1049
"TX",1277
"UT",1222
"VA",1302
"VT",589
"WA",1500
"WI",951
"WV",486
"WY",188
