"state","gym_businessListings"
"AK",568
"AL",1035
"AR",884
"AZ",1505
"CA",1502
"CO",1399
"CT",1501
"DE",1164
"FL",1465
"GA",1194
"HI",1315
"IA",981
"ID",779
"IL",1257
"IN",1158
"KS",1039
"KY",1012
"LA",1096
"MA",1500
"MD",1458
"ME",950
"MI",1499
"MN",1302
"MO",1276
"MS",872
"MT",369
"NC",1439
"ND",315
"NE",532
"NH",992
"NJ",1501
"NM",640
"NV",1429
"NY",1501
"OH",1452
"OK",1120
"OR",1138
"PA",1411
"RI",1417
"SC",1317
"SD",238
"TN",1157
"TX",1364
"UT",1294
"VA",1287
"VT",520
"WA",1508
"WI",1019
"WV",294
"WY",138
