"state","hair salon_businessListings"
"AK",1240
"AL",1519
"AR",1445
"AZ",1536
"CA",1516
"CO",1541
"CT",1516
"DE",1466
"FL",1514
"GA",1399
"HI",1501
"IA",1479
"ID",1390
"IL",1815
"IN",1506
"KS",4269
"KY",4246
"LA",4698
"MA",3043
"MD",3016
"ME",2921
"MI",3022
"MN",2286
"MO",1502
"MS",1403
"MT",2416
"NC",1522
"ND",1013
"NE",1820
"NH",1402
"NJ",1514
"NM",1119
"NV",1980
"NY",1509
"OH",1532
"OK",1400
"OR",1506
"PA",2276
"RI",2871
"SC",1527
"SD",640
"TN",1515
"TX",1513
"UT",1516
"VA",1731
"VT",1070
"WA",1511
"WI",1517
"WV",1265
"WY",562
