"state","health food_businessListings"
"AK",616
"AL",959
"AR",788
"AZ",1531
"CA",1534
"CO",1396
"CT",1520
"DE",1130
"FL",1480
"GA",1165
"HI",1380
"IA",956
"ID",807
"IL",1161
"IN",1141
"KS",1069
"KY",940
"LA",1010
"MA",1521
"MD",1470
"ME",1046
"MI",1433
"MN",1328
"MO",1280
"MS",856
"MT",341
"NC",1462
"ND",321
"NE",529
"NH",932
"NJ",1524
"NM",648
"NV",1476
"NY",1481
"OH",1422
"OK",1119
"OR",1217
"PA",1380
"RI",1433
"SC",1267
"SD",229
"TN",1150
"TX",1357
"UT",1421
"VA",1326
"VT",575
"WA",1514
"WI",933
"WV",231
"WY",193
