"state","wellness clinic_businessListings"
"AK",231
"AL",266
"AR",287
"AZ",1399
"CA",1221
"CO",1184
"CT",1003
"DE",478
"FL",1049
"GA",891
"HI",342
"IA",301
"ID",334
"IL",997
"IN",657
"KS",558
"KY",276
"LA",346
"MA",1113
"MD",1381
"ME",251
"MI",1063
"MN",1262
"MO",698
"MS",361
"MT",253
"NC",486
"ND",259
"NE",329
"NH",405
"NJ",1411
"NM",305
"NV",698
"NY",775
"OH",495
"OK",464
"OR",805
"PA",712
"RI",720
"SC",273
"SD",270
"TN",434
"TX",1083
"UT",837
"VA",635
"VT",245
"WA",1305
"WI",435
"WV",238
"WY",177
