"state","yoga_businessListings"
"AK",466
"AL",776
"AR",629
"AZ",1500
"CA",1441
"CO",1368
"CT",1503
"DE",1058
"FL",1389
"GA",1084
"HI",1321
"IA",967
"ID",683
"IL",1085
"IN",999
"KS",977
"KY",943
"LA",989
"MA",1476
"MD",1436
"ME",712
"MI",1426
"MN",1257
"MO",1218
"MS",759
"MT",253
"NC",1282
"ND",369
"NE",611
"NH",923
"NJ",1502
"NM",739
"NV",1392
"NY",1476
"OH",1341
"OK",1058
"OR",1010
"PA",1237
"RI",1401
"SC",1293
"SD",409
"TN",1068
"TX",1276
"UT",1168
"VA",1245
"VT",448
"WA",1454
"WI",843
"WV",346
"WY",184
