"state","topCity","population","stateAbbreviations"
"alabama","Birmingham",208940,"AL"
"alabama","Huntsville",202910,"AL"
"alabama","Montgomery",197282,"AL"
"alabama","Mobile",186804,"AL"
"alabama","Tuscaloosa",103369,"AL"
"alabama","Hoover",85740,"AL"
"alabama","Dothan",68259,"AL"
"alabama","Auburn",68138,"AL"
"alabama","Decatur",53602,"AL"
"alabama","Madison",52544,"AL"
"alaska","Anchorage",285634,"AK"
"alaska","Juneau",31435,"AK"
"alaska","Fairbanks",30996,"AK"
"alaska","Badger",18792,"AK"
"alaska","Knik-Fairview",17513,"AK"
"alaska","College",13709,"AK"
"alaska","Wasilla",11435,"AK"
"alaska","Tanaina",10520,"AK"
"alaska","Lakes",10098,"AK"
"alaska","Sitka",8543,"AK"
"arizona","Phoenix",1703080,"AZ"
"arizona","Tucson",553871,"AZ"
"arizona","Mesa",527666,"AZ"
"arizona","Chandler",268675,"AZ"
"arizona","Scottsdale",262222,"AZ"
"arizona","Gilbert",258935,"AZ"
"arizona","Glendale",254500,"AZ"
"arizona","Tempe",194218,"AZ"
"arizona","Peoria",180219,"AZ"
"arizona","Surprise",142049,"AZ"
"arkansas","Little Rock",197371,"AR"
"arkansas","Fayetteville",90757,"AR"
"arkansas","Fort Smith",88373,"AR"
"arkansas","Springdale",83249,"AR"
"arkansas","Jonesboro",79192,"AR"
"arkansas","Rogers",70278,"AR"
"arkansas","Conway",67828,"AR"
"arkansas","North Little Rock",65591,"AR"
"arkansas","Bentonville",55539,"AR"
"arkansas","Pine Bluff",40779,"AR"
"california","Los Angeles",4015940,"CA"
"california","San Diego",1447100,"CA"
"california","San Jose",1033670,"CA"
"california","San Francisco",896047,"CA"
"california","Fresno",538195,"CA"
"california","Sacramento",521769,"CA"
"california","Long Beach",463218,"CA"
"california","Oakland",435224,"CA"
"california","Bakersfield",390233,"CA"
"california","Anaheim",352911,"CA"
"colorado","Denver",734134,"CO"
"colorado","Colorado Springs",485946,"CO"
"colorado","Aurora",382742,"CO"
"colorado","Fort Collins",172862,"CO"
"colorado","Lakewood",158660,"CO"
"colorado","Thornton",143890,"CO"
"colorado","Arvada",123036,"CO"
"colorado","Westminster",113919,"CO"
"colorado","Pueblo",113662,"CO"
"colorado","Centennial",112151,"CO"
"connecticut","Bridgeport",143010,"CT"
"connecticut","Stamford",131593,"CT"
"connecticut","New Haven",130850,"CT"
"connecticut","Hartford",121033,"CT"
"connecticut","Waterbury",107701,"CT"
"connecticut","Norwalk",88871,"CT"
"connecticut","Danbury",84100,"CT"
"connecticut","New Britain",72045,"CT"
"connecticut","West Hartford",63127,"CT"
"connecticut","Bristol",59674,"CT"
"delaware","Wilmington",70139,"DE"
"delaware","Dover",38499,"DE"
"delaware","Newark",34493,"DE"
"delaware","Middletown",23744,"DE"
"delaware","Bear",21362,"DE"
"delaware","Glasgow",14342,"DE"
"delaware","Hockessin",13472,"DE"
"delaware","Brookside",13191,"DE"
"delaware","Smyrna",11940,"DE"
"delaware","Milford",11799,"DE"
"florida","Jacksonville",926371,"FL"
"florida","Miami",486388,"FL"
"florida","Tampa",413704,"FL"
"florida","Orlando",291739,"FL"
"florida","St. Petersburg",271842,"FL"
"florida","Hialeah",243208,"FL"
"florida","Port St. Lucie",206410,"FL"
"florida","Cape Coral",199503,"FL"
"florida","Tallahassee",199205,"FL"
"florida","Fort Lauderdale",184599,"FL"
"georgia","Atlanta",523738,"GA"
"georgia","Augusta",196303,"GA"
"georgia","Columbus",189296,"GA"
"georgia","Macon County",152519,"GA"
"georgia","Savannah",145754,"GA"
"georgia","Athens",129770,"GA"
"georgia","Sandy Springs",110779,"GA"
"georgia","South Fulton",98837,"GA"
"georgia","Roswell",94872,"GA"
"georgia","Johns Creek",84946,"GA"
"hawaii","Honolulu",342933,"HI"
"hawaii","East Honolulu",47770,"HI"
"hawaii","Hilo",46284,"HI"
"hawaii","Pearl City",46129,"HI"
"hawaii","Waipahu",40427,"HI"
"hawaii","Kailua",36662,"HI"
"hawaii","Kaneohe",33739,"HI"
"hawaii","Kahului",32312,"HI"
"hawaii","Mililani Town",27926,"HI"
"hawaii","Ewa Gentry",25752,"HI"
"idaho","Boise",234576,"ID"
"idaho","Meridian",115550,"ID"
"idaho","Nampa",101410,"ID"
"idaho","Idaho Falls",63543,"ID"
"idaho","Caldwell",59809,"ID"
"idaho","Pocatello",57166,"ID"
"idaho","Coeur d'Alene",52917,"ID"
"idaho","Twin Falls",51770,"ID"
"idaho","Post Falls",38145,"ID"
"idaho","Lewiston",33155,"ID"
"illinois","Chicago",2694240,"IL"
"illinois","Aurora",198870,"IL"
"illinois","Naperville",149196,"IL"
"illinois","Joliet",148227,"IL"
"illinois","Rockford",145020,"IL"
"illinois","Springfield",112990,"IL"
"illinois","Elgin",111401,"IL"
"illinois","Peoria",108194,"IL"
"illinois","Champaign",89149,"IL"
"illinois","Waukegan",85720,"IL"
"indiana","Indianapolis",875929,"IN"
"indiana","Fort Wayne",270989,"IN"
"indiana","Evansville",116709,"IN"
"indiana","South Bend",102028,"IN"
"indiana","Fishers",96992,"IN"
"indiana","Carmel",95964,"IN"
"indiana","Bloomington",85981,"IN"
"indiana","Hammond",74423,"IN"
"indiana","Gary",73966,"IN"
"indiana","Lafayette",72668,"IN"
"iowa","Des Moines",217891,"IA"
"iowa","Cedar Rapids",135502,"IA"
"iowa","Davenport",101965,"IA"
"iowa","Sioux City",81382,"IA"
"iowa","Iowa City",78440,"IA"
"iowa","Ankeny",72820,"IA"
"iowa","West Des Moines",68619,"IA"
"iowa","Ames",67962,"IA"
"iowa","Waterloo",67228,"IA"
"iowa","Council Bluffs",62289,"IA"
"kansas","Wichita",388771,"KS"
"kansas","Overland Park",196636,"KS"
"kansas","Kansas City",153600,"KS"
"kansas","Olathe",142841,"KS"
"kansas","Topeka",125092,"KS"
"kansas","Lawrence",99496,"KS"
"kansas","Shawnee",66215,"KS"
"kansas","Lenexa",56366,"KS"
"kansas","Manhattan",54749,"KS"
"kansas","Salina",45928,"KS"
"kentucky","Louisville",624890,"KY"
"kentucky","Lexington",328690,"KY"
"kentucky","Bowling Green",71623,"KY"
"kentucky","Owensboro",60323,"KY"
"kentucky","Covington",40136,"KY"
"kentucky","Richmond",37652,"KY"
"kentucky","Georgetown",36081,"KY"
"kentucky","Florence",33127,"KY"
"kentucky","Nicholasville",32113,"KY"
"kentucky","Elizabethtown",30837,"KY"
"louisiana","New Orleans",390128,"LA"
"louisiana","Baton Rouge",216701,"LA"
"louisiana","Shreveport",183819,"LA"
"louisiana","Metairie",143481,"LA"
"louisiana","Lafayette",124561,"LA"
"louisiana","Lake Charles",80169,"LA"
"louisiana","Bossier City",68915,"LA"
"louisiana","Kenner",66351,"LA"
"louisiana","Monroe",46737,"LA"
"louisiana","Alexandria",45808,"LA"
"maine","Portland",66067,"ME"
"maine","Lewiston",35868,"ME"
"maine","Bangor",32167,"ME"
"maine","South Portland",25474,"ME"
"maine","Auburn",23256,"ME"
"maine","Biddeford",21574,"ME"
"maine","Sanford",21335,"ME"
"maine","Saco",20352,"ME"
"maine","Westbrook",19760,"ME"
"maine","Augusta",18809,"ME"
"maryland","Baltimore",590479,"MD"
"maryland","Columbia",103663,"MD"
"maryland","Germantown",90844,"MD"
"maryland","Silver Spring",79750,"MD"
"maryland","Waldorf",74587,"MD"
"maryland","Frederick",74346,"MD"
"maryland","Ellicott City",72247,"MD"
"maryland","Rockville",70088,"MD"
"maryland","Glen Burnie",69813,"MD"
"maryland","Gaithersburg",69079,"MD"
"massachusetts","Boston",710195,"MA"
"massachusetts","Worcester",186433,"MA"
"massachusetts","Springfield",155472,"MA"
"massachusetts","Cambridge",121783,"MA"
"massachusetts","Lowell",112626,"MA"
"massachusetts","Brockton",96313,"MA"
"massachusetts","Lynn",96032,"MA"
"massachusetts","New Bedford",95155,"MA"
"massachusetts","Quincy",94948,"MA"
