"stateAbbreviation","state","Reciprocity","ReciprocityDetails","proofOtherOrAllStateLicense","stateResidencyProof","passportSizePhoto","driversLicensePhotoCopy","nameChangeProof","socialSecurityCopy","Hours","HoursOnly","MBLEX_or_NCBTMB","goodHealthClearance","BoardBackgroundCheckFee","stateApplyingBackgroundCheck","DOJ_backgroundCheck","applicationCost","licensingCost","licenseRenewalFee","CPR_certification","licensingETA","healthReferences","CEU","timeLicenseValidYears","liabilityInsurance","schoolTranscripts","MBLEX_transcript","LMT_jobsListed","LMT_avgHourly","LMT_avgAnnualSalary","Zillow_2BR_10cityAverageHomeValue","median2018IncomeByState","total_state_population","percent_black","percent_white","percent_two_or_more","percent_Native_American","percent_Asian","percent_Pacific_Islander","percent_Latino","cashier_jobsListed","cashier_avgHourly","cashier_avgAnnualSalary","remote_jobsListed","remote_avgHourly","remote_avgAnnualSalary","personalTrainer_jobsListed","personalTrainer_avgHourly","personalTrainer_avgAnnualSalary","houseCleaner_jobsListed","houseCleaner_avgHourly","houseCleaner_avgAnnualSalary","warehouse_jobsListed","warehouse_avgHourly","warehouse_avgAnnualSalary","security_jobsListed","security_avgHourly","security_avgAnnualSalary","nanny_jobsListed","nanny_avgHourly","nanny_avgAnnualSalary","clerical_jobsListed","clerical_avgHourly","clerical_avgAnnualSalary","tutor_jobsListed","tutor_avgHourly","tutor_avgAnnualSalary","dataScientist_jobsListed","dataScientist_avgHourly","dataScientist_avgAnnualSalary","nurses_jobsListed","nurses_avgHourly","nurses_avgAnnualSalary","personalAssistant_jobsListed","personalAssistant_avgHourly","personalAssistant_avgAnnualSalary","chiropractor_jobsListed","chiropractor_avgHourly","chiropractor_avgAnnualSalary","physicalTherapist_jobsListed","physicalTherapist_avgHourly","physicalTherapist_avgAnnualSalary","esthetician_jobsListed","esthetician_avgHourly","esthetician_avgAnnualSalary","medicalSpaEsthetician_jobsListed","medicalSpaEsthetician_avgHourly","medicalSpaEsthetician_avgAnnualSalary","medicalDoctor_jobsListed","medicalDoctor_avgHourly","medicalDoctor_avgAnnualSalary","yogaInstructor_jobsListed","yogaInstructor_avgHourly","yogaInstructor_avgAnnualSalary","pilatesInstructor_jobsListed","pilatesInstructor_avgHourly","pilatesInstructor_avgAnnualSalary","businessListings_chiropractor","businessListings_wellness_clinic","businessListings_massage_spa","businessListings_yoga","businessListings_gym","businessListings_coffee","businessListings_health_food","businessListings_hair_salon","businessListings_tanning","Rent2BR2BA_Listings_10cities","Rent2BR2BA_MinPrice__10cities","Rent2BR2BA_MaxPrice__10cities","Rent2BR2BA_AvgPrice__10cities","businessListings_jail_or_prison","businessListings_collision","businessListings_university_or_college","cosmetologist__jobsListed","cosmetologist__avgHourly","cosmetologist__avgAnnualSalary","businessListings_convalescent","autoRepairTechnician_jobsListed","autoRepairTechnician_avgHourly","autoRepairTechnician_avgAnnualSalary"
"AK","Alaska",NA,NA,NA,NA,NA,NA,NA,NA," 500; hours are required on or before June 30, 2019
625 hours are required on or after July 1, 2019 anatomy & physiology & pathology & kinesiology 500/130, 625/162; massage theory & practical application 500/220, 625/275; clinical practice 500/110, 625/138; ethics & law 500/40, 625/50",500,"yes",NA,"yes","yes","yes","200","290",NA,NA,"12 weeks",NA,"17",NA,NA,"yes","yes",115,53.7125,NA,244501.666666667,74346,"737438","3.4","64.4","8.4","15.1","6.3","1.1","7.2",338,12.5,26000,757,58.5335204755614,121749.722589168,140,NA,NA,70,12,24960,598,17.5558528428094,36516.1739130436,541,16.9375,35230,"252",15.3690476190476,31967.619047619,605,17.9600583333333,37356.9213333333,577,22.094020797227,45955.5632582322,171,NA,NA,746,53.7232439678284,92885.0247989276,130,16,93365,81,15,31200,352,53.9688715953307,112255.252918288,80,17.1,35568,626,23.7355670926518,49369.9795527157,651,74.04044546851,206072.864823349,46,37.5,78000,NA,NA,NA,948,231,1113,466,568,1049,616,1244,281,73,1548.98484848485,1671.875,1570.17424242424,170,281,368,45,NA,40000,1239,168,45000,25.5357142857143
"AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,"650; total, accepts CEUs and out of state to make difference, see notes2,  100 hours of anatomy and physiology consisting of 35 hours of myology, 15 hours of osteology, 10 hours of circulatory system, 10 hours of nervous system, and 30 hours of other body systems at the discretion of the school; (ii) 40 hours of pathology; (iii) 250 hours of basic massage therapy, contradistinctions of massage therapy, contraindications to massage therapy, and related touch modalities, to include a minimum of 50 hours of supervised massage; (iv) 50 hours of miscellaneous required courses including business, hydrotherapy, first aid, cardiopulmonary resuscitation, and professional ethics; (v) 210 hours of electives to be determined by the school

 
",650,"yes",NA,"yes","45","yes","25","100",NA,NA,NA,NA,NA,NA,"yes","yes","yes",109,33.0178571428571,45000,104537.098360656,49861,"4887871","26.7","67.7","2.1","0.5","1.3","0.0","4.3",703,9.99911095305832,20798.1507823613,740,44.6869932432432,92948.9459459459,280,18.866847826087,39243.043478261,293,12.7751865671642,26572.3880597015,753,13.8494023904382,28806.7569721115,743,13.3048452220727,27674.0780619112,"323",14.0356037151703,29194.0557275542,722,15.9452908587258,33166.2049861497,626,19.8730830670927,41336.0127795528,438,56.7084134615385,117953.5,793,30.9401008827238,71491.0519685039,416,15.0885286783042,30140.3260869565,142,63.6666666666667,132426.666666667,671,53.5140845070423,111309.295774648,190,17.2694117647059,35920.3764705883,454,15.1152073732719,31439.6313364056,723,44.6116874135546,221154.426002766,79,46.1708860759494,96035.4430379748,80,62.5,130000,1093,266,1233,776,1035,848,959,1518,357,431,1031.59144893112,1417.81619937695,1166.54394299287,280,632,790,243,19.2967142857143,31500,1465,198,53578.5,21.1464646464646
"AR","Arkansas",NA,NA,"yes",NA,NA,"yes",NA,"yes","500; 175 hours of education in anatomy, physiology, pathology, and contraindications and 225 hours of education in massage therapy technique. Additionally, a student must have 25 hours in each of the following: Hygiene and infection control
Hydrotherapy, heliotherapy, and electrotherapy
Law, professional ethics, and business management, as they relate to massage therapy practice
The remaining 25 hours are to be in other related subjects as approved by the Board.",500,"yes, and state exam",NA,"yes","25","yes","75","80",NA,NA,NA,NA,"18/2","2; 18 CE hours every 2 years for license renewal.",NA,NA,"yes, and state exam",255,22.308,49500,114929.764705882,47062,"3013825","15.2","76.5","2.9","0.7","1.6","0.3","7.6",617,10.7378444084279,22334.71636953,747,57.7158634538153,120048.995983936,215,26,54080,230,13.0697674418605,27185.1162790698,749,14.2566755674232,29653.8851802403,653,12.4778713629403,25953.9724349158,"405",13.65625,28405,716,13.7409217877095,28581.1173184358,513,19.7534113060429,41087.0955165692,342,NA,NA,808,32.2561881188119,88175.1532147743,330,13.5625,37995.125,146,51.0810810810811,106248.648648649,624,49.3962818003914,102744.266144814,300,12.95,26936,292,19.7759433962264,41133.9622641509,725,39.2037931034483,184922.553793103,95,46.9444444444444,97644.4444444444,25,62.5,130000,1086,287,1038,629,884,749,788,1444,336,253,940.180327868852,1332.89325842697,1072.72540983607,230,509,576,466,10.4876237623762,51562.9067245119,1394,164,71000,19.6567164179104
"AZ","Arizona","Yes"," Yes","yes","yes","yes",NA,NA,NA,"700;",700,"yes",NA,"22","yes","no","195","0",NA,NA,NA,NA,"24/2 years","2",NA,"yes","yes",745,44.9530201342282,63449.1610738255,240336.2890625,59246,"7171646","4.7","78.0","4.0","4.6","3.3","0.2","31.6",756,12.5659722222222,26137.2222222222,749,59.8271028037383,124440.373831776,633,31.6129541864139,65754.9447077409,697,17.8335724533716,37093.8307030129,797,18.7481367628607,38996.1244667503,801,21.707240948814,45151.0611735331,"728",19.5192307692308,40600.0000000001,755,18.3461920529801,38160.0794701986,750,29.0593333333333,60443.4133333333,685,54.8754167658966,114140.866873065,825,51.0283878787879,110540.823636364,670,19.8477611940299,49287.4111940298,641,56.268680445151,117038.855325914,761,56.3649540078844,117239.1043364,764,36.1583769633508,75209.4240837697,724,16.3087016574586,33922.0994475139,786,50.7689567430025,120095.292620865,593,59.106239460371,122940.978077572,567,55.9620811287478,116401.128747795,1574,1399,1520,1500,1505,1507,1531,1543,1336,794,1323.72959183673,1978.29542097489,1597.20471938776,514,1502,1515,711,25.3018635724332,42985.2320675106,1503,724,53809.1436865022,24.7508701657459
"CA","California",NA,NA,NA,NA,"yes","yes",NA,NA,"500; at least 100 anatomy & physiology",500,"no",NA,"no","yes","yes",NA,"200","200",NA,"8 weeks","no","no","2","no","yes","no",657,45.7476635514019,57574.8638095238,669171.593283582,75277,"39557045","5.8","59.5","5.1","0.8","14.7","0.4","39.3",730,14.7438356164384,30667.1780821919,759,62.3410737812912,129669.433465086,565,38.1330884955752,79316.8240707964,617,18.1691653160454,37791.8638573744,793,19.4824842370744,40523.5672131147,789,25.4609125475285,52958.6980988593,"665",28.5413533834586,59366.0150375939,751,22.930466045273,47695.3693741678,728,35.5851785714286,74017.1714285715,603,78.1465395688764,162544.802303263,801,57.3208988764045,114196.18164794,675,23.1001851851852,73099.2038167939,596,63.1554982817869,131363.436426117,755,68.9178674351585,143349.16426513,585,52.024778761062,108211.539823009,175,16.8260869565217,34998.2608695651,786,63.7150636132315,139434.508905852,557,55.7971274685817,116058.02513465,557,57.9741379310345,120586.206896552,1560,1221,1518,1441,1502,1500,1534,1517,1120,761,2789.19573901465,4128.39689922481,3350.28761651132,471,1373,1369,564,37.7319109461967,56448.75,1509,608,68396.8197211155,33.3758223684211
"CO","Colorado","Yes"," by endorsement-400 hours in practice written by employer per year for last two years and 24 hours CEU for each year of the last two years","yes",NA,NA,"yes","yes","yes","500;",500,"yes",NA,"yes","yes","yes",NA,"200",NA,NA,"12 weeks",NA,"24","2, expires the last day Dec. 31 within 2 years of issue","yes","yes","yes",735,39.2544217687075,113566.460587326,327365.428571429,71953,"5695564","4.2","84.1","4.0","1.0","3.2","0.1","21.7",753,13.9776958831341,29073.6074369189,752,64.4664228723404,134090.159574468,593,43.2257653061224,89909.5918367346,657,22.9308523592085,47696.1729071537,795,18.2447358490566,37949.0505660377,775,19.8285677419355,41243.4209032258,"659",19.3528072837633,40253.8391502277,739,20.450399188092,42536.8303112314,707,29.2482319660537,60836.3224893917,650,41.6537728508714,86639.8475298126,811,37.8221331689273,73888.4963008631,608,19.1067224080268,48996.6521381579,539,61.0621468926554,127009.265536723,738,53.7676151761518,111836.639566396,617,42.1781045751634,87730.4575163399,636,18.8589622641509,39226.6415094339,773,54.0255174644243,161513.971539457,476,55.3718487394958,115173.445378151,418,59.5928431372549,123953.11372549,1495,1184,1461,1368,1399,1379,1396,1544,1158,582,1717.81118881119,2718.33969465649,2165.60751748252,593,1285,1295,676,28.0553064275037,62286.9955156951,1501,630,115306.946688207,37.7968253968254
"CT","Connecticut","Yes"," by endorsement, verification of each state license ever held, MBLEX score, proof of practice at least Yes","yes",NA,NA,NA,NA,NA,"750; in class instruction only and 60 hours unpaid and supervised internship",750,"yes",NA,"yes","yes","yes","379.75",NA,"255",NA,NA,NA,"24/4 years, min. 6 online, and NCBTMB approved for all","2, expires the next birth month following issue","yes","yes","yes",756,39.5112433862434,53270.8055555556,212252.404761905,76348,"3572665","11.0","75.2","3.4","0.3","4.6","0.0","16.5",699,12.9055793991416,26843.6051502145,749,59.5407209612817,123844.699599466,626,30.7108626198083,63878.5942492013,637,15.3791208791209,31988.5714285715,786,21.8187022900763,45382.9007633587,754,21.875,45500,"683",23.6493411420205,49190.6295754026,767,20.5123859191656,42665.7627118644,681,46.4229074889868,96559.6475770925,682,48.7184519230769,101334.38,832,40.7766346153846,102035.660456731,689,16.2626995645864,47928.1567489115,287,43.4462809917355,90368.2644628098,736,42.9864130434783,89411.7391304349,670,21.9850746268657,45728.9552238807,90,27.5,57200,779,39.3568677792041,170520.73042362,501,47.9600798403194,99756.9660678644,280,59.358,123464.64,1537,1003,1511,1503,1501,1501,1520,1515,930,173,2127.73939393939,3094.38709677419,2440.53333333333,536,996,1298,694,27.5662824207493,84439.6551724138,1501,724,57558.3563535912,24.6988950276243
"DE","Delaware",NA,NA,"yes",NA,NA,NA,NA,"yes","500; 100 hours of anatomy and physiology
300 hours of technique and theory of massage or bodywork therapy
75 hours of elective courses in the field of massage therapy
25 hours of ethics, law and contraindications.",500,"yes",NA,"yes","yes","yes",NA,"159",NA,1,NA,NA,"24/2 years, 3 hours in Ethics, which may be taken in a classroom or online
9 hours of Core credits ? which must be taken in a classroom hands-on setting
12 hours of Elective or Core credits which may be taken online","1-2 years; On 8/31 of even years",NA,"yes","yes",663,44.2221337579618,50000,215976.058823529,64805,"967171","22.5","68.2","2.7","0.5","4.0","0.1","9.5",679,10.764175257732,22389.4845360826,760,62.5167763157895,130034.894736842,512,23.0126953125,47866.40625,716,14.2341397849462,29607.0107526881,773,16.8690168175938,35087.5549805951,760,16.2993421052632,33902.6315789475,"591",19.2157360406091,39968.7309644669,733,14.7554570259209,30691.3506139155,674,24.2155637982196,50368.3727002968,571,46.6346153846154,97000,801,34.4357053682896,134160.134831461,513,17.5089285714286,52140.3347107438,333,65.50625,136253,701,39.6338479809976,82438.403800475,474,44.5316622691293,92625.8575197889,139,16,33280,785,48.2793630573248,99013.8050955414,203,57.1059113300493,118780.295566503,150,62.5,130000,1187,478,1233,1058,1164,1050,1130,1461,596,325,1883.2893081761,3174.61937716263,2461.44182389937,294,1085,927,398,20.8265306122449,43319.1836734694,1502,550,50038.2231404959,20.4731481481481
"FL","Florida",NA,NA,"yes",NA,NA,NA,NA,NA,"500; + 10 hours of Florida Law in class",500,"yes","yes","yes","yes","yes","50","105","105",NA,NA,NA,"1/1 year to 24/2years. Must have 2 med. Errors + 1-12 per month active in year on first renewal, next renewal is 1/month up to 24 of 12 relevant to massage, 1 human trafficking, 2 laws, 2 ethics, 2 med. Errors, and 6 general for massage practice","1-2 years; On 8/31 of odd years",NA,"yes","yes",701,60.0634807417974,46879.8701298701,215245.234234234,55462,"21299325","16.0","74.6","2.9","0.3","2.8","0.1","26.1",721,12.7223023578363,26462.3889042995,752,61.5239361702128,127969.787234043,580,32.8362068965517,68299.3103448275,620,14.4739919354839,30105.9032258065,754,16.7334880636605,34805.6551724138,756,15.017328042328,31236.0423280422,"547",17.8238007380074,37073.5055350554,756,15.4808201058201,32200.1058201058,691,30.9692474674385,64416.0347322721,496,65.5614880465279,136367.895136778,811,42.1475277435265,75890.6818742293,611,16.654572147651,47574.0705009276,629,44.9922638436482,93583.9087947883,694,62.4419889502762,129879.337016574,616,34.2502029220779,71240.422077922,365,15.6475409836066,32546.8852459017,771,64.9484435797665,117428.875486381,452,55.5226769911504,115487.168141593,370,59.9224137931034,124638.620689655,1533,1049,1516,1389,1465,1482,1480,1516,892,792,1576.65345268542,2195.48932926829,1822.56329923274,536,1216,1344,607,33.0762081784387,53523.1970989761,1502,553,79380.4139433551,24.0529739776952
"GA","Georgia",NA,NA,"yes",NA,NA,NA,NA,NA,"500; Anatomy, physiology, and kinesiology 125, Theory, technique, and practice 200, pathology 40, ethics 6, business management 4, other topics such as benefits and contraindications, client data collection and documentation, therapeutic relationships, and universal precautions 125.",500,"yes",NA,"yes","yes","yes","125",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",397,43.624362244898,51199.3573446328,192060.489795918,58756,"10519475","31.6","58.3","2.7","0.3","4.1","0.1","9.7",633,10.7022906793049,22260.7646129542,743,64.524730820996,134211.440107672,415,32.3192771084337,67224.0963855421,493,17.1997971602434,35775.5780933063,688,15.6586119186047,32569.9127906978,640,15.26546875,31752.175,"470",19.5712765957447,40708.255319149,652,16.7685812883436,34878.6490797547,621,28.429347826087,59133.043478261,400,55.5754793916683,115596.99713467,756,48.8574735449735,74316.5376984127,373,15.6903631284916,66097.2103658537,358,56.6228956228956,117775.622895623,626,56.546835443038,117617.417721519,365,33.2142857142857,69085.7142857143,485,16.9612903225806,35279.4838709676,678,41.8617551622419,174246.261061947,326,52.7407975460123,109700.858895706,263,56,116480,1183,891,1270,1084,1194,1129,1165,1403,796,598,1470.7406779661,2340.92791127542,1860.0186440678,446,968,1085,396,43.1081460674157,61941.7910447761,1378,395,86241.5398773006,35.1784810126582
