"state","city","jobSearched","jobPosted_nDays_ago","MinHourlySalary","MaxHourlySalary","MinAnnualSalary","MaxAnnualSalary"
"AK","anchorage","warehouse","2020-07-01",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-02",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-06",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-07",12,29.43,52697,89950
"AK","anchorage","warehouse","2020-07-08",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-09",11.3333333333333,29.43,68975.6666666667,89950
"AK","anchorage","warehouse","2020-07-10",12,29.43,52697,89950
"AK","anchorage","warehouse","2020-07-11",11.25,29.43,71010.5,89950
"AK","anchorage","warehouse","2020-07-13",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-14",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-15",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-16",11.3333333333333,26.62,NA,NA
"AK","anchorage","warehouse","2020-07-17",11.3333333333333,29.43,68975.6666666667,89950
"AK","anchorage","warehouse","2020-07-18",11,21,NA,NA
"AK","anchorage","warehouse","2020-07-19",11,25.215,NA,NA
"AK","anchorage","warehouse","2020-07-20",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-21",11.1666666666667,26.62,NA,NA
"AK","anchorage","warehouse","2020-07-22",11.5,29.43,64906,89950
"AK","anchorage","warehouse","2020-07-23",11.3333333333333,29.43,68975.6666666667,89950
"AK","anchorage","warehouse","2020-07-24",11.3333333333333,25.215,NA,NA
"AK","anchorage","warehouse","2020-07-27",11,29.43,77115,89950
"AK","anchorage","warehouse","2020-07-28",11.5555555555556,25.6833333333333,NA,NA
"AK","anchorage","warehouse","2020-07-29",11.5555555555556,25.6833333333333,NA,NA
"AK","anchorage","warehouse","2020-07-30",11.6,26.058,NA,NA
"AK","anchorage","warehouse","2020-07-31",11.5,25.215,NA,NA
"AK","anchorage","warehouse","2020-08-01",11.5,25.215,NA,NA
"AK","anchorage","warehouse","2020-08-03",11.3333333333333,23.81,NA,NA
"AK","anchorage","warehouse","2020-08-04",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-05",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-06",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-07",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-08",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-10",11,21,NA,NA
"AK","anchorage","warehouse","2020-08-11",11,21,38000,43000
"AK","anchorage","warehouse","2020-08-12",11,21,38000,43000
"AK","anchorage","warehouse","2020-08-13",11,21,38000,43000
"AK","anchorage","warehouse","2020-08-14",11,21,38000,43000
"AK","anchorage","warehouse","2020-08-15",11,21,38000,43000
"AK","anchorage","warehouse","2020-08-17",11,21,38000,43000
"AK","anchorage","warehouse worker","2020-06-23",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-06-24",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-06-26",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-06-27",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-06-30",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-01",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-02",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-06",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-07",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-10",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-11",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-14",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-15",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-16",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-17",11,29.43,52697,61420
"AK","anchorage","warehouse worker","2020-07-18",11,29.43,52697,61420
"AK","badger","warehouse","2020-06-29",12,21,NA,NA
"AK","badger","warehouse","2020-06-30",12,21,NA,NA
"AK","badger","warehouse","2020-07-08",12,21,70000,80000
"AK","badger","warehouse","2020-07-13",12,21,NA,NA
"AK","badger","warehouse","2020-07-14",12,21,NA,NA
"AK","badger","warehouse","2020-07-15",12,21,NA,NA
"AK","badger","warehouse","2020-07-17",12,21,NA,NA
"AK","badger","warehouse","2020-07-18",12,21,70000,80000
"AK","badger","warehouse","2020-07-20",12,21,NA,NA
"AK","badger","warehouse","2020-07-21",12,21,NA,NA
"AK","badger","warehouse","2020-07-23",12,21,NA,NA
"AK","badger","warehouse","2020-07-24",12,21,70000,80000
"AK","badger","warehouse","2020-07-27",12,21,NA,NA
"AK","badger","warehouse","2020-07-28",12,21,70000,80000
"AK","badger","warehouse","2020-07-29",12,21,70000,80000
"AK","badger","warehouse","2020-07-30",12,21,70000,80000
"AK","badger","warehouse","2020-07-31",12,21,70000,80000
"AK","badger","warehouse","2020-08-01",12,21,70000,80000
"AK","badger","warehouse","2020-08-05",12,21,70000,80000
"AK","badger","warehouse","2020-08-06",12,21,70000,80000
"AK","badger","warehouse","2020-08-07",12,21,70000,80000
"AK","badger","warehouse","2020-08-10",12,21,70000,80000
"AK","badger","warehouse","2020-08-13",12,21,70000,80000
"AK","badger","warehouse","2020-08-14",12,21,70000,80000
"AK","badger","warehouse","2020-08-15",12,21,70000,80000
"AK","badger","warehouse","2020-08-17",12,21,70000,80000
"AK","badger","warehouse worker","2020-06-24",12,21,NA,NA
"AK","badger","warehouse worker","2020-06-25",12,21,NA,NA
"AK","badger","warehouse worker","2020-06-26",12,21,NA,NA
"AK","badger","warehouse worker","2020-06-29",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-08",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-10",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-13",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-14",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-15",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-16",12,21,NA,NA
"AK","badger","warehouse worker","2020-07-17",12,21,NA,NA
"AK","college","warehouse","2020-06-29",12,21,NA,NA
"AK","college","warehouse","2020-06-30",12,21,NA,NA
"AK","college","warehouse","2020-07-13",12,21,NA,NA
"AK","college","warehouse","2020-07-14",12,21,NA,NA
"AK","college","warehouse","2020-07-15",12,21,NA,NA
"AK","college","warehouse","2020-07-17",12,21,NA,NA
"AK","college","warehouse","2020-07-18",12,21,70000,80000
"AK","college","warehouse","2020-07-20",12,21,NA,NA
"AK","college","warehouse","2020-07-21",12,21,NA,NA
"AK","college","warehouse","2020-07-23",12,21,NA,NA
"AK","college","warehouse","2020-07-24",12,21,70000,80000
"AK","college","warehouse","2020-07-27",12,21,NA,NA
"AK","college","warehouse","2020-07-28",12,21,70000,80000
"AK","college","warehouse","2020-07-29",12,21,70000,80000
"AK","college","warehouse","2020-07-30",12,21,70000,80000
"AK","college","warehouse","2020-07-31",12,21,70000,80000
"AK","college","warehouse","2020-08-01",12,21,70000,80000
"AK","college","warehouse","2020-08-05",12,21,70000,80000
"AK","college","warehouse","2020-08-06",12,21,70000,80000
"AK","college","warehouse","2020-08-07",12,21,70000,80000
"AK","college","warehouse","2020-08-10",12,21,70000,80000
"AK","college","warehouse","2020-08-11",12,21,70000,80000
"AK","college","warehouse","2020-08-13",12,21,70000,80000
"AK","college","warehouse","2020-08-14",12,21,70000,80000
"AK","college","warehouse","2020-08-15",12,21,70000,80000
"AK","college","warehouse worker","2020-06-25",12,21,NA,NA
"AK","college","warehouse worker","2020-06-26",12,21,NA,NA
"AK","college","warehouse worker","2020-06-29",12,21,NA,NA
"AK","college","warehouse worker","2020-07-08",12,21,NA,NA
"AK","college","warehouse worker","2020-07-10",12,21,NA,NA
"AK","college","warehouse worker","2020-07-13",12,21,NA,NA
"AK","college","warehouse worker","2020-07-14",12,21,NA,NA
"AK","college","warehouse worker","2020-07-15",12,21,NA,NA
"AK","college","warehouse worker","2020-07-16",12,21,NA,NA
"AK","college","warehouse worker","2020-07-17",12,21,NA,NA
"AK","fairbanks","warehouse","2020-06-29",12,21,NA,NA
"AK","fairbanks","warehouse","2020-06-30",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-08",12,21,70000,80000
"AK","fairbanks","warehouse","2020-07-13",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-14",12,24.6666666666667,NA,NA
"AK","fairbanks","warehouse","2020-07-15",12,23.75,NA,NA
"AK","fairbanks","warehouse","2020-07-16",12,21,70000,80000
"AK","fairbanks","warehouse","2020-07-17",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-18",12,32,70000,80000
"AK","fairbanks","warehouse","2020-07-20",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-21",12,23.2,NA,NA
"AK","fairbanks","warehouse","2020-07-23",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-24",12,23.75,70000,80000
"AK","fairbanks","warehouse","2020-07-27",12,21,NA,NA
"AK","fairbanks","warehouse","2020-07-28",12,26.5,70000,80000
