"state","city","datePosted","warehouse_jobsPosted"
"AK","anchorage",2020-06-23,1
"AK","anchorage",2020-06-24,3
"AK","anchorage",2020-06-26,1
"AK","anchorage",2020-06-27,1
"AK","anchorage",2020-06-30,1
"AK","anchorage",2020-07-01,7
"AK","anchorage",2020-07-02,3
"AK","anchorage",2020-07-06,6
"AK","anchorage",2020-07-07,5
"AK","anchorage",2020-07-08,1
"AK","anchorage",2020-07-09,3
"AK","anchorage",2020-07-10,2
"AK","anchorage",2020-07-11,7
"AK","anchorage",2020-07-13,2
"AK","anchorage",2020-07-14,4
"AK","anchorage",2020-07-15,6
"AK","anchorage",2020-07-16,4
"AK","anchorage",2020-07-17,4
"AK","anchorage",2020-07-18,3
"AK","anchorage",2020-07-19,2
"AK","anchorage",2020-07-20,1
"AK","anchorage",2020-07-21,6
"AK","anchorage",2020-07-22,4
"AK","anchorage",2020-07-23,3
"AK","anchorage",2020-07-24,6
"AK","anchorage",2020-07-27,2
"AK","anchorage",2020-07-28,9
"AK","anchorage",2020-07-29,9
"AK","anchorage",2020-07-30,5
"AK","anchorage",2020-07-31,22
"AK","anchorage",2020-08-01,4
"AK","anchorage",2020-08-03,3
"AK","anchorage",2020-08-04,4
"AK","anchorage",2020-08-05,5
"AK","anchorage",2020-08-06,4
"AK","anchorage",2020-08-07,4
"AK","anchorage",2020-08-08,3
"AK","anchorage",2020-08-10,2
"AK","anchorage",2020-08-11,4
"AK","anchorage",2020-08-12,2
"AK","anchorage",2020-08-13,3
"AK","anchorage",2020-08-14,3
"AK","anchorage",2020-08-15,3
"AK","anchorage",2020-08-17,1
"AK","badger",2020-06-24,1
"AK","badger",2020-06-25,2
"AK","badger",2020-06-26,1
"AK","badger",2020-06-29,4
"AK","badger",2020-06-30,1
"AK","badger",2020-07-08,3
"AK","badger",2020-07-10,2
"AK","badger",2020-07-13,3
"AK","badger",2020-07-14,4
"AK","badger",2020-07-15,11
"AK","badger",2020-07-16,3
"AK","badger",2020-07-17,4
"AK","badger",2020-07-18,1
"AK","badger",2020-07-20,2
"AK","badger",2020-07-21,5
"AK","badger",2020-07-23,2
"AK","badger",2020-07-24,4
"AK","badger",2020-07-27,1
"AK","badger",2020-07-28,3
"AK","badger",2020-07-29,8
"AK","badger",2020-07-30,1
"AK","badger",2020-07-31,1
"AK","badger",2020-08-01,6
"AK","badger",2020-08-05,3
"AK","badger",2020-08-06,1
"AK","badger",2020-08-07,1
"AK","badger",2020-08-10,1
"AK","badger",2020-08-13,3
"AK","badger",2020-08-14,1
"AK","badger",2020-08-15,3
"AK","badger",2020-08-17,1
"AK","college",2020-06-25,2
"AK","college",2020-06-26,1
"AK","college",2020-06-29,4
"AK","college",2020-06-30,1
"AK","college",2020-07-08,1
"AK","college",2020-07-10,2
"AK","college",2020-07-13,3
"AK","college",2020-07-14,4
"AK","college",2020-07-15,11
"AK","college",2020-07-16,3
"AK","college",2020-07-17,4
"AK","college",2020-07-18,1
"AK","college",2020-07-20,2
"AK","college",2020-07-21,5
"AK","college",2020-07-23,2
"AK","college",2020-07-24,4
"AK","college",2020-07-27,1
"AK","college",2020-07-28,3
"AK","college",2020-07-29,9
"AK","college",2020-07-30,1
"AK","college",2020-07-31,2
"AK","college",2020-08-01,6
"AK","college",2020-08-05,3
"AK","college",2020-08-06,1
"AK","college",2020-08-07,1
"AK","college",2020-08-10,1
"AK","college",2020-08-11,1
"AK","college",2020-08-13,3
"AK","college",2020-08-14,1
"AK","college",2020-08-15,3
"AK","fairbanks",2020-06-25,2
"AK","fairbanks",2020-06-26,1
"AK","fairbanks",2020-06-29,4
"AK","fairbanks",2020-06-30,1
"AK","fairbanks",2020-07-08,2
"AK","fairbanks",2020-07-10,2
"AK","fairbanks",2020-07-13,3
"AK","fairbanks",2020-07-14,4
"AK","fairbanks",2020-07-15,12
"AK","fairbanks",2020-07-16,4
"AK","fairbanks",2020-07-17,4
"AK","fairbanks",2020-07-18,1
"AK","fairbanks",2020-07-20,2
"AK","fairbanks",2020-07-21,5
"AK","fairbanks",2020-07-23,2
"AK","fairbanks",2020-07-24,4
"AK","fairbanks",2020-07-27,1
"AK","fairbanks",2020-07-28,2
"AK","fairbanks",2020-07-29,9
"AK","fairbanks",2020-07-30,2
"AK","fairbanks",2020-07-31,2
"AK","fairbanks",2020-08-01,7
"AK","fairbanks",2020-08-05,3
"AK","fairbanks",2020-08-06,1
"AK","fairbanks",2020-08-07,2
"AK","fairbanks",2020-08-10,1
"AK","fairbanks",2020-08-11,1
"AK","fairbanks",2020-08-13,2
"AK","fairbanks",2020-08-14,2
"AK","fairbanks",2020-08-15,3
"AK","fairbanks",2020-08-17,1
"AK","juneau",2020-06-24,1
"AK","juneau",2020-06-26,1
"AK","juneau",2020-06-30,1
"AK","juneau",2020-07-08,1
"AK","juneau",2020-07-17,3
"AK","juneau",2020-07-18,3
"AK","juneau",2020-07-21,1
"AK","juneau",2020-07-22,2
"AK","juneau",2020-07-23,2
"AK","juneau",2020-07-24,2
"AK","juneau",2020-08-06,1
"AK","juneau",2020-08-07,1
"AK","juneau",2020-08-14,1
"AK","knik-fairview",2020-06-24,1
"AK","knik-fairview",2020-06-27,1
"AK","knik-fairview",2020-07-01,1
"AK","knik-fairview",2020-07-02,1
"AK","knik-fairview",2020-07-04,1
"AK","knik-fairview",2020-07-06,4
"AK","knik-fairview",2020-07-07,1
"AK","knik-fairview",2020-07-09,3
"AK","knik-fairview",2020-07-10,1
"AK","knik-fairview",2020-07-11,6
"AK","knik-fairview",2020-07-13,1
"AK","knik-fairview",2020-07-14,3
"AK","knik-fairview",2020-07-15,5
"AK","knik-fairview",2020-07-16,1
"AK","knik-fairview",2020-07-17,5
"AK","knik-fairview",2020-07-18,6
"AK","knik-fairview",2020-07-19,4
"AK","knik-fairview",2020-07-20,1
"AK","knik-fairview",2020-07-21,6
"AK","knik-fairview",2020-07-22,6
"AK","knik-fairview",2020-07-23,2
"AK","knik-fairview",2020-07-24,4
"AK","knik-fairview",2020-07-27,3
"AK","knik-fairview",2020-07-28,2
"AK","knik-fairview",2020-07-29,3
"AK","knik-fairview",2020-07-30,8
"AK","knik-fairview",2020-07-31,12
"AK","knik-fairview",2020-08-01,10
"AK","knik-fairview",2020-08-03,2
"AK","knik-fairview",2020-08-04,1
"AK","knik-fairview",2020-08-05,6
"AK","knik-fairview",2020-08-06,7
"AK","knik-fairview",2020-08-07,4
"AK","knik-fairview",2020-08-08,3
"AK","knik-fairview",2020-08-10,2
"AK","knik-fairview",2020-08-11,4
"AK","knik-fairview",2020-08-12,3
"AK","knik-fairview",2020-08-13,3
"AK","knik-fairview",2020-08-14,4
"AK","knik-fairview",2020-08-15,2
"AK","lakes",2020-07-01,3
"AK","lakes",2020-07-02,1
"AK","lakes",2020-07-03,1
"AK","lakes",2020-07-06,4
"AK","lakes",2020-07-07,1
"AK","lakes",2020-07-09,3
"AK","lakes",2020-07-10,2
"AK","lakes",2020-07-11,4
"AK","lakes",2020-07-13,1
"AK","lakes",2020-07-15,3
"AK","lakes",2020-07-16,3
"AK","lakes",2020-07-17,7
"AK","lakes",2020-07-18,8
"AK","lakes",2020-07-19,3
"AK","lakes",2020-07-21,6
"AK","lakes",2020-07-22,6
"AK","lakes",2020-07-23,1
"AK","lakes",2020-07-24,6
"AK","lakes",2020-07-27,1
"AK","lakes",2020-07-28,3
"AK","lakes",2020-07-29,5
"AK","lakes",2020-07-30,9
"AK","lakes",2020-07-31,15
"AK","lakes",2020-08-01,11
"AK","lakes",2020-08-04,3
"AK","lakes",2020-08-05,6
"AK","lakes",2020-08-06,6
"AK","lakes",2020-08-07,2
"AK","lakes",2020-08-08,3
"AK","lakes",2020-08-10,1
"AK","lakes",2020-08-11,5
"AK","lakes",2020-08-12,2
"AK","lakes",2020-08-13,4
"AK","lakes",2020-08-14,5
"AK","lakes",2020-08-15,2
"AK","sitka",2020-06-29,1
"AK","sitka",2020-07-08,3
"AK","sitka",2020-07-16,1
"AK","sitka",2020-07-17,2
"AK","sitka",2020-07-18,1
"AK","sitka",2020-07-21,1
"AK","sitka",2020-07-30,1
"AK","sitka",2020-08-06,1
"AK","sitka",2020-08-07,1
"AK","sitka",2020-08-10,1
"AK","tanaina",2020-07-01,3
"AK","tanaina",2020-07-02,1
"AK","tanaina",2020-07-03,1
"AK","tanaina",2020-07-06,3
"AK","tanaina",2020-07-07,2
"AK","tanaina",2020-07-08,1
"AK","tanaina",2020-07-09,4
"AK","tanaina",2020-07-10,2
"AK","tanaina",2020-07-11,7
"AK","tanaina",2020-07-13,1
"AK","tanaina",2020-07-14,2
"AK","tanaina",2020-07-15,2
"AK","tanaina",2020-07-16,1
"AK","tanaina",2020-07-17,7
"AK","tanaina",2020-07-18,6
"AK","tanaina",2020-07-19,3
"AK","tanaina",2020-07-20,2
"AK","tanaina",2020-07-21,5
"AK","tanaina",2020-07-22,7
"AK","tanaina",2020-07-23,2
"AK","tanaina",2020-07-24,6
"AK","tanaina",2020-07-27,1
"AK","tanaina",2020-07-28,7
"AK","tanaina",2020-07-29,8
"AK","tanaina",2020-07-30,10
"AK","tanaina",2020-07-31,19
"AK","tanaina",2020-08-01,13
"AK","tanaina",2020-08-04,4
"AK","tanaina",2020-08-05,3
"AK","tanaina",2020-08-06,7
"AK","tanaina",2020-08-07,4
"AK","tanaina",2020-08-08,2
"AK","tanaina",2020-08-10,2
"AK","tanaina",2020-08-11,3
"AK","tanaina",2020-08-12,1
"AK","tanaina",2020-08-13,3
"AK","tanaina",2020-08-14,3
"AK","tanaina",2020-08-15,3
"AK","wasilla",2020-06-29,1
"AK","wasilla",2020-07-01,3
