"city","state","wellness clinic_businessType","todaysDate"
"Birmingham","AL","AdLice Clinics of America -Birmingham","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","1. Narrows Health & Wellness Clinic","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","2. Psych Wellness South LLC","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","3. Heritage Medicine","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","4. Homeopathy for Wellness","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","5. Total Wellness MD","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","6. Mi Bella Wellness Center","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","7. Back On Track Chiropractic & Wellness Center","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","8. Renew Health & Wellness","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","9. Mabwa Home Health Care Services","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","10. Bariatric Health and Wellness","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","11. Birmingham Health & Wellness","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","12. Wellness Within","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","13. Maximum Physical Therapy And Sports Wellness","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","14. Wells Brian M.D.","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","15. Birmingham Neuropsychology","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","16. Mayfair Medical Group","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","17. Therapy South","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","18. Dr Forsythe Cancer Care Center","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","19. Peters, Elizabeth","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","20. McCain, Jennifer","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","21. McMillian, Kelly Lyles","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","22. Jones, Lauree","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","23. Baxley, Courtney","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","24. Odrezin, Jamie","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","25. McElderry, Darby","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","26. Habeeb, Judith","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","27. Woolley, Audie","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","28. Waldo, Bryson","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","29. Wilson, Melisa","Wed Jul 22 06:26:51 2020"
"Birmingham","AL","30. Wiatrak, Brian","Wed Jul 22 06:26:51 2020"
"Huntsville","AL","1. Alison Wellness Clinic","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","2. Alison Wellness Clinic","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","3. Acupuncture & Wellness Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","4. Aqua Wellness Spa","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","5. Bio-Identical Hormones of Huntsville","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","6. Health & Well 24","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","7. Chiropractic Wellness Depot - CLOSED","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","8. Integrative Wellness Center - CLOSED","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","9. Madison Family Care and Wellness Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","10. Quick Care Wellness & Pharmacy","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","11. Pain 2 Wellness Healthcare","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","12. Therapyplus North-Fitness/Wellness","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","13. Tara Health & Wellness Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","14. Patrick Rehab-Wellness Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","15. Chiropractic Health Clinic Of Huntsville","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","16. Dr. Mick, ND, LAc, Acupuncture Natural Health Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","17. Healthsource Chiropractic Of Huntsville-Providence","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","18. Nesin Therapy Services","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","19. HealthSource Chiropractic and Progressive Rehab","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","20. HealthSource of Madison, AL","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","21. Complete Physical Therapy","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","22. Loren Dr. Hunter N.D. A.D.","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","23. Dr Forsythe Cancer Care Center","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","24. Neeley Center For Health - CLOSED","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","AdHuntsville Cardiothoracic Surgeons","Wed Jul 22 06:27:03 2020"
"Huntsville","AL","AdFreeman Allergy/ William Freeman, MD","Wed Jul 22 06:27:03 2020"
"Montgomery","AL","1. Occumed Health And Wellness","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","2. Montgomery Wellness & Injury","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","3. Nikken Wellness Ctr","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","4. Harmony Wellness & Rehab","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","5. Hope Wellness","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","6. Harmony Wellness & Rehab","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","7. Women's Health & Wellness Center LLC - CLOSED","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","8. Chiropractic Center","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","9. Hart Jason DR","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","10. First Choice Healthcare","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","11. Tallassee Rehab","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","12. Dr Forsythe Cancer Care Center","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","13. Hughes, Alicia Jeturian","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","14. Colvin, Kendra Gillis","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","15. Coates  Optical Laboratory","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","16. Pediatric Healthcare","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","17. Children's of Alabama","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","18. Easter Seals","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","19. Jackson Clinic","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","20. Baptist Medical Center South","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","21. East Montgomery Primary Medicine","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","22. Montgomery Primary Medicine Associates","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","23. Baptist Medical Center East","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","24. UAB Medicine Multispecialty Clinic","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","25. Comprehensive Therapy Center At Baptist East","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","26. Montgomery Cancer Center","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","27. Montgomery Breast Center","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","28. Institute for Advanced Wound Care","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","29. Prattville Baptist Hospital","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","30. Jackson Hospital","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","AdChildren's of Alabama","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","AdUAB Medicine Multispecialty Clinic","Wed Jul 22 06:27:17 2020"
"Montgomery","AL","AdRose Chiropractic Inc","Wed Jul 22 06:27:17 2020"
"Mobile","AL","1. Well Spring Medical Clinic","Wed Jul 22 06:27:28 2020"
"Mobile","AL","2. Well Spring Medical Clinic - CLOSED","Wed Jul 22 06:27:28 2020"
"Mobile","AL","3. House Call LLC","Wed Jul 22 06:27:28 2020"
"Mobile","AL","4. Living Well Health Center - CLOSED","Wed Jul 22 06:27:28 2020"
"Mobile","AL","5. Dynamic Pain & Wellness","Wed Jul 22 06:27:28 2020"
"Mobile","AL","6. Senior Wellness Group Of Al","Wed Jul 22 06:27:28 2020"
"Mobile","AL","7. Back on Track Chiropractic & Wellness Center, Rizzuto Richard DC","Wed Jul 22 06:27:28 2020"
"Mobile","AL","8. Tillmans Corner Chiropractic Clinic","Wed Jul 22 06:27:28 2020"
"Mobile","AL","9. Medi-Weightloss Clinic Of Mobile","Wed Jul 22 06:27:28 2020"
"Mobile","AL","10. Ball Healthcare Services","Wed Jul 22 06:27:28 2020"
"Mobile","AL","11. Ellis, Donald C Dr","Wed Jul 22 06:27:28 2020"
"Mobile","AL","12. Foster Chiropractic","Wed Jul 22 06:27:28 2020"
"Mobile","AL","13. Dr Forsythe Cancer Care Center","Wed Jul 22 06:27:28 2020"
"Mobile","AL","AdEastern Shore Urgent Care","Wed Jul 22 06:27:28 2020"
"Mobile","AL","AdHands Of Hope Healthcare","Wed Jul 22 06:27:28 2020"
"Mobile","AL","AdSaad Healthcare","Wed Jul 22 06:27:28 2020"
"Tuscaloosa","AL","1. Bariatric Health & Wellness","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","2. Agee Chiropractic & Wellness Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","3. Freeman Chiropractic","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","4. Dr Forsythe Cancer Care Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","5. West Alabama Pediatrics - CLOSED","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","6. Children's of Alabama","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","7. West Alabama Neurosurgery & Spine PC","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","8. Tuscaloosa Surgical Assoc","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","9. Surgical Specialist Of Alabama","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","10. DCH Regional Medical Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","11. DCH Physical Rehabilitation","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","12. DCH Women's Services","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","13. Manderson Cancer Center at DCH Regional Medical Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","14. DCH Outpatient Laboratory","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","15. Spinecare Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","16. DCH Health System","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","17. DCH Home Medical Equipment","Wed Jul 22 06:27:41 2020"
